-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Karnataka,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,12.5,74.5,5.4415,5.9664,6.653,6.6434,5.7696,3.8755,4.0937,4.2103,4.2763,4.8804,5.077,4.9464,5.1504
ALLSKY_SFC_SW_DWN,2020,12.5,75.5,5.5726,6.0888,6.5734,6.4375,5.7326,4.0949,3.7428,3.6905,3.907,4.5283,4.9668,4.9409,5.0191
ALLSKY_SFC_SW_DWN,2020,12.5,76.5,5.5577,6.1296,6.4351,6.5122,6.1346,5.0599,4.6032,4.4131,4.4102,4.7642,4.5787,4.4573,5.2512
ALLSKY_SFC_SW_DWN,2020,12.5,77.5,5.5154,6.1932,6.4862,6.5782,6.2762,5.4391,4.9296,4.6147,4.4705,4.733,4.3757,4.3697,5.3285
ALLSKY_SFC_SW_DWN,2020,12.5,78.5,5.2817,6.0418,6.5395,6.54,6.2143,5.491,5.2063,4.8439,4.6606,4.717,4.1815,4.0764,5.3134
ALLSKY_SFC_SW_DWN,2020,13.5,74.5,5.5666,6.0756,6.7697,6.7814,5.976,4.1066,3.761,3.8998,4.2934,4.6284,5.2162,5.0688,5.1746
ALLSKY_SFC_SW_DWN,2020,13.5,75.5,5.5373,6.1222,6.6737,6.523,5.9885,4.4206,3.9857,3.5489,4.013,4.405,4.9824,4.9142,5.0885
ALLSKY_SFC_SW_DWN,2020,13.5,76.5,5.435,6.1478,6.655,6.672,6.2782,5.2874,4.7935,4.374,4.5679,4.7698,4.643,4.4911,5.339
ALLSKY_SFC_SW_DWN,2020,13.5,77.5,5.3933,6.2162,6.6845,6.6922,6.4066,5.3522,5.0186,4.6385,4.6778,4.7316,4.4628,4.4626,5.3914
ALLSKY_SFC_SW_DWN,2020,13.5,78.5,5.1154,6.0797,6.5189,6.5998,6.4214,5.291,5.065,4.6879,4.6714,4.7261,4.1935,4.1258,5.2882
