-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Madhya Pradesh,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,21.5,74.5,4.2766,5.3556,6.1601,7.159,7.4618,5.0911,4.817,3.33,4.543,5.034,4.5434,3.8822,5.1346
ALLSKY_SFC_SW_DWN,2020,21.5,75.5,4.2506,5.3417,6.1778,7.1234,7.4004,4.9699,4.9762,3.419,4.4916,4.974,4.5763,3.912,5.1317
ALLSKY_SFC_SW_DWN,2020,21.5,76.5,4.195,5.2582,6.1351,7.0709,7.3536,4.8305,4.9265,3.2654,4.4916,4.8146,4.6956,3.96,5.0801
ALLSKY_SFC_SW_DWN,2020,21.5,77.5,4.1023,5.1715,5.9006,6.8974,7.3464,4.7882,4.6769,3.1087,4.4482,4.6702,4.693,4.063,4.9855
ALLSKY_SFC_SW_DWN,2020,21.5,78.5,3.9924,5.0962,5.8207,6.8227,7.2775,4.7126,4.5509,3.1454,4.5734,4.6673,4.7074,4.1429,4.9558
ALLSKY_SFC_SW_DWN,2020,21.5,79.5,4.0056,4.9716,5.7583,6.8023,7.2358,4.6819,4.3373,3.1718,4.5454,4.6368,4.6558,4.139,4.9087
ALLSKY_SFC_SW_DWN,2020,21.5,80.5,4.0082,4.7155,5.4444,6.7315,7.1028,4.5518,4.2629,3.1169,4.489,4.4165,4.5667,4.1232,4.7914
ALLSKY_SFC_SW_DWN,2020,21.5,81.5,4.0596,4.6068,5.4612,6.576,6.8376,4.3754,4.6704,3.5724,4.6262,4.3819,4.5605,4.1683,4.8235
ALLSKY_SFC_SW_DWN,2020,21.5,82.5,4.044,4.5739,5.4902,6.498,6.8014,4.3296,4.5161,3.4366,4.6826,4.5506,4.4563,4.1215,4.7906
ALLSKY_SFC_SW_DWN,2020,22.5,74.5,4.2233,5.3282,6.1123,7.1467,7.6711,5.417,4.9073,3.3898,4.5127,5.081,4.4976,3.8506,5.1749
