-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Meghalaya,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,25.5,90.5,3.3055,4.0385,5.1852,5.449,4.6296,4.2571,3.2206,4.6145,3.2294,4.2686,4.261,3.4817,4.1609
ALLSKY_SFC_SW_DWN,2020,25.5,91.5,3.4838,4.0625,5.1547,5.1991,4.499,4.0846,3.1008,4.3538,3.2861,3.9497,4.3282,3.8282,4.11
ALLSKY_SFC_SW_DWN,2020,25.5,92.5,3.3324,4.0133,5.1106,4.8638,4.2775,4.0958,3.5208,4.693,3.5978,3.841,4.2679,3.835,4.1203
ALLSKY_SFC_SW_DWN,2020,26.5,90.5,3.1219,3.8314,4.8643,5.315,4.6486,4.0704,2.8822,4.6601,3.108,4.3706,4.0807,3.3607,4.026
ALLSKY_SFC_SW_DWN,2020,26.5,91.5,3.2719,3.8986,4.9699,5.2169,4.6747,4.4585,3.4625,4.8862,3.6864,4.392,4.0891,3.577,4.2154
ALLSKY_SFC_SW_DWN,2020,26.5,92.5,3.1934,3.8974,4.9728,5.076,4.5134,4.4693,3.7603,4.855,3.8681,4.2127,4.0402,3.5734,4.2026
ALLSKY_SFC_SW_DWN,2021,25.5,90.5,3.2878,4.4662,5.2685,5.9462,4.4162,4.1616,4.0709,3.853,4.7318,4.2485,4.1978,3.6024,4.3488
ALLSKY_SFC_SW_DWN,2021,25.5,91.5,3.6434,4.6478,5.2687,6.0617,4.441,3.7754,3.8503,3.545,4.4518,4.265,4.3939,3.696,4.3306
ALLSKY_SFC_SW_DWN,2021,25.5,92.5,3.6163,4.6181,5.0712,5.808,4.4021,4.117,4.2461,3.6511,4.8353,4.2979,4.3438,3.6542,4.3824
ALLSKY_SFC_SW_DWN,2021,26.5,90.5,2.9892,4.1626,4.9517,5.9086,4.1347,3.8506,4.031,3.732,4.8994,4.0579,3.996,3.4915,4.1786
ALLSKY_SFC_SW_DWN,2021,26.5,91.5,3.2047,4.2876,4.9397,5.9318,4.2199,4.296,4.2257,4.2288,4.9824,4.3322,4.117,3.6288,4.3618
ALLSKY_SFC_SW_DWN,2021,26.5,92.5,3.2227,4.2706,4.9649,5.8675,4.175,4.3498,4.2811,4.1345,4.9661,4.3934,4.1232,3.599,4.3579
ALLSKY_SFC_SW_DWN,2022,25.5,90.5,3.432,4.0399,5.2361,4.429,4.3802,3.2628,4.6483,4.7563,4.0435,4.2667,4.4916,3.4044,4.2022
ALLSKY_SFC_SW_DWN,2022,25.5,91.5,3.5321,4.0699,5.2654,4.5038,4.1002,2.8956,4.4527,4.6934,3.9346,4.0277,4.5989,3.6917,4.1496
ALLSKY_SFC_SW_DWN,2022,25.5,92.5,3.3931,4.0138,5.1041,4.3709,3.7884,3.2842,4.8413,4.8629,4.284,4.079,4.5266,3.649,4.1851
