-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Mizoram,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,22.5,92.5,3.9264,5.0882,5.8325,5.4521,5.551,4.9262,4.5581,4.6315,4.7894,4.7071,4.5156,4.4095,4.8638
ALLSKY_SFC_SW_DWN,2020,22.5,93.5,4.301,5.3659,5.9942,5.3474,5.7398,4.8154,4.3903,4.2883,4.4414,4.3068,4.6728,4.7664,4.867
ALLSKY_SFC_SW_DWN,2020,22.5,94.5,4.2948,5.3417,6.0569,5.6352,6.035,5.6388,5.3616,4.4537,4.711,4.291,4.6195,4.4122,5.0686
ALLSKY_SFC_SW_DWN,2020,23.5,92.5,3.7066,4.649,5.5289,5.2512,4.9879,4.7119,4.4424,4.7822,4.6704,4.5014,4.409,4.2242,4.6543
ALLSKY_SFC_SW_DWN,2020,23.5,93.5,4.1078,4.7904,5.7144,5.1468,5.2082,4.6908,4.1633,4.3805,4.4083,4.235,4.4395,4.4887,4.6469
ALLSKY_SFC_SW_DWN,2020,23.5,94.5,4.0442,4.8132,5.8375,5.3134,5.6623,4.9884,4.5881,4.3735,4.4021,3.9338,4.325,4.0524,4.6932
ALLSKY_SFC_SW_DWN,2020,24.5,92.5,3.3864,4.5211,5.5471,5.2846,4.7273,4.4088,4.2646,4.7606,4.2194,4.2996,4.3306,3.9038,4.47
ALLSKY_SFC_SW_DWN,2020,24.5,93.5,3.804,4.5024,5.6254,5.0534,4.8785,4.4868,4.0937,4.53,4.4702,4.3589,4.3934,4.2485,4.5365
ALLSKY_SFC_SW_DWN,2020,24.5,94.5,3.8767,4.5046,5.6794,5.0549,5.0849,4.7263,4.1964,4.23,4.4006,3.8659,4.3404,4.1095,4.5046
ALLSKY_SFC_SW_DWN,2021,22.5,92.5,4.4124,5.4086,5.5872,6.1346,5.9326,4.0728,4.3586,4.2809,5.0714,4.6022,4.5845,4.0589,4.8701
