-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Arunachal Pradesh,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,27.5,92.5,2.9774,3.3907,3.7507,3.9374,3.929,3.7238,3.0718,4.2982,3.3322,4.044,3.858,3.1819,3.625
ALLSKY_SFC_SW_DWN,2020,27.5,93.5,2.8037,3.2765,3.51,3.7994,3.7788,3.1939,2.7487,4.3354,3.0929,3.7898,3.7332,3.1195,3.4325
ALLSKY_SFC_SW_DWN,2020,27.5,94.5,2.9899,3.5854,4.1981,4.2547,4.1717,3.3864,2.869,4.241,3.2791,4.0174,3.7457,3.3641,3.6758
ALLSKY_SFC_SW_DWN,2020,27.5,95.5,3.2618,3.9478,4.7009,4.4138,4.4846,3.5974,3.1757,4.439,3.709,4.2684,3.9305,3.6917,3.9691
ALLSKY_SFC_SW_DWN,2020,27.5,96.5,3.097,3.84,4.4558,4.0306,4.0951,3.2676,3.0854,4.1112,3.5609,4.0128,3.8873,3.6643,3.7594
ALLSKY_SFC_SW_DWN,2020,28.5,92.5,3.749,4.3037,5.1331,4.9757,5.4667,5.4967,4.4218,5.3366,4.7782,5.4504,4.531,3.9494,4.8005
ALLSKY_SFC_SW_DWN,2020,28.5,93.5,2.7574,3.2894,3.4174,3.653,4.1575,3.7272,3.397,4.5432,3.3816,3.5203,3.5251,2.9402,3.5266
ALLSKY_SFC_SW_DWN,2020,28.5,94.5,2.676,3.1642,3.1452,3.4289,3.935,3.0823,2.8673,4.3126,2.9059,3.385,3.3583,2.8378,3.2594
ALLSKY_SFC_SW_DWN,2020,28.5,95.5,2.7314,3.468,3.6022,3.4363,4.0627,3.1426,2.8918,4.3476,3.0144,3.8071,3.4961,3.18,3.4332
ALLSKY_SFC_SW_DWN,2020,28.5,96.5,2.9131,3.7339,4.2442,3.7577,4.2634,3.2491,3.271,4.4484,3.0218,3.8585,3.5489,3.2969,3.636
ALLSKY_SFC_SW_DWN,2020,29.5,92.5,3.8698,4.7952,5.455,5.2781,6.1116,5.6462,5.0304,5.837,5.2003,5.525,4.6061,4.2108,5.1317
ALLSKY_SFC_SW_DWN,2020,29.5,93.5,3.5926,4.6318,5.7091,4.9462,5.2728,5.1924,4.7218,5.6784,4.7299,5.0537,4.2266,3.93,4.8084
ALLSKY_SFC_SW_DWN,2020,29.5,94.5,3.1375,4.2444,4.8084,4.4143,4.8264,4.3342,4.0075,5.2174,3.9677,3.9127,3.6235,3.3307,4.1522
ALLSKY_SFC_SW_DWN,2020,29.5,95.5,2.9201,4.0241,4.5077,4.0663,4.7218,3.4985,3.4987,4.889,3.4222,3.2028,3.2815,3.0355,3.7562
ALLSKY_SFC_SW_DWN,2020,29.5,96.5,3.1066,3.8719,4.4686,4.4304,5.1886,4.5329,4.2514,5.179,4.1885,3.8731,3.5338,3.378,4.1686
ALLSKY_SFC_SW_DWN,2021,27.5,92.5,3.1464,3.7937,3.7805,4.8374,3.6197,3.9506,3.6408,3.3845,4.3879,3.8086,3.5165,3.1942,3.7502
ALLSKY_SFC_SW_DWN,2021,27.5,93.5,2.8918,3.7061,3.4802,4.6488,3.0144,3.5707,3.6331,3.2722,4.56,3.8023,3.565,3.2846,3.6132
ALLSKY_SFC_SW_DWN,2021,27.5,94.5,3.0626,4.1052,4.0253,4.9841,3.3638,3.9434,3.9811,3.66,4.9781,4.1354,3.9038,3.5398,3.9672
ALLSKY_SFC_SW_DWN,2021,27.5,95.5,3.2695,4.3577,4.4006,5.2481,3.714,4.2259,4.2847,4.0003,5.4492,4.5353,4.2079,3.6446,4.272
ALLSKY_SFC_SW_DWN,2021,27.5,96.5,3.2213,4.3147,4.1333,4.7806,3.4567,3.7937,3.9953,3.4949,4.8965,4.249,4.0562,3.5179,3.9857
ALLSKY_SFC_SW_DWN,2021,28.5,92.5,4.0541,4.8221,4.8295,5.6328,5.2186,5.6239,4.6416,4.7911,5.3014,5.053,4.4846,3.8513,4.8545
ALLSKY_SFC_SW_DWN,2021,28.5,93.5,2.9525,3.4354,3.221,3.8926,3.403,4.1834,4.0142,3.6943,4.302,3.4735,3.1109,3.0708,3.5604
ALLSKY_SFC_SW_DWN,2021,28.5,94.5,2.6762,3.5693,3.0074,3.6005,2.5961,3.5659,3.8402,3.2318,4.3843,3.4248,3.2376,3.0014,3.3389
ALLSKY_SFC_SW_DWN,2021,28.5,95.5,2.945,3.9648,3.4716,3.9113,2.9602,3.7008,4.0344,3.3113,4.6145,3.893,3.6341,3.2254,3.6326
ALLSKY_SFC_SW_DWN,2021,28.5,96.5,3.1046,4.0296,3.7735,4.1155,3.073,3.966,4.0858,3.5506,4.307,3.8962,3.5532,3.2731,3.7219
ALLSKY_SFC_SW_DWN,2021,29.5,92.5,4.4803,4.9896,5.406,5.951,5.5524,6.2928,5.1967,5.0549,5.1096,5.3419,4.7878,3.8988,5.1694
ALLSKY_SFC_SW_DWN,2021,29.5,93.5,4.1138,4.752,4.9229,5.327,5.0779,5.8411,4.9814,4.8396,4.8468,4.7798,4.3102,3.8165,4.7981
ALLSKY_SFC_SW_DWN,2021,29.5,94.5,3.5664,4.237,3.9926,4.5528,4.1527,5.016,4.6459,4.3174,4.475,3.7776,3.4738,3.3677,4.1278
ALLSKY_SFC_SW_DWN,2021,29.5,95.5,3.3761,4.2598,3.6876,3.9262,3.1678,4.1926,4.4458,3.895,4.2833,3.3926,3.1646,3.0463,3.7306
ALLSKY_SFC_SW_DWN,2021,29.5,96.5,4.0896,4.3656,3.9142,4.2917,4.2674,4.6817,4.633,4.249,4.6176,3.9074,3.613,3.2088,4.1498
ALLSKY_SFC_SW_DWN,2022,27.5,92.5,3.0139,3.0602,4.5214,3.4416,3.767,2.7048,4.4966,4.2106,3.3922,3.5532,3.7855,2.7086,3.5611
ALLSKY_SFC_SW_DWN,2022,27.5,93.5,3.0564,2.8301,4.2996,2.7881,3.6182,2.6345,4.6378,4.3056,3.4066,3.4164,4.1825,2.9045,3.515
ALLSKY_SFC_SW_DWN,2022,27.5,94.5,3.1982,3.4018,4.602,3.0528,4.109,2.9846,4.8235,4.6918,3.6998,3.6581,4.3356,3.1908,3.8189
ALLSKY_SFC_SW_DWN,2022,27.5,95.5,3.3122,3.7894,4.854,3.0922,4.2506,3.353,5.0659,5.0501,3.8921,3.9499,4.6277,3.4121,4.0596
ALLSKY_SFC_SW_DWN,2022,27.5,96.5,3.0607,3.6058,4.7786,2.8531,3.7906,2.903,4.8163,4.6272,3.4248,3.738,4.6985,3.1795,3.7946
ALLSKY_SFC_SW_DWN,2022,28.5,92.5,3.828,4.0428,5.761,4.7436,5.3698,4.6694,5.5399,5.2102,4.6092,4.6462,4.7935,3.901,4.7662
