-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Tamil Nadu,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,10.5,76.5,5.693,6.0761,6.263,6.1241,5.4336,4.5077,4.363,4.5756,4.0524,4.9771,4.8322,4.435,5.1084
ALLSKY_SFC_SW_DWN,2020,10.5,77.5,5.3148,5.8219,6.2218,6.3089,5.7605,5.2877,5.1242,5.1686,4.7834,5.1434,4.189,3.7445,5.237
ALLSKY_SFC_SW_DWN,2020,10.5,78.5,5.3923,5.9285,6.4814,6.6691,5.9995,5.7257,5.3095,5.5274,5.0938,5.2183,4.1309,3.5602,5.417
ALLSKY_SFC_SW_DWN,2020,10.5,79.5,5.298,5.8404,6.4522,6.5338,5.8654,5.6998,5.0774,5.507,4.8026,5.046,3.9514,3.4116,5.2879
ALLSKY_SFC_SW_DWN,2020,11.5,76.5,5.5973,6.1735,6.2323,6.2494,5.5769,4.6145,4.2516,4.4081,4.1354,4.7834,4.5331,4.3932,5.0753
ALLSKY_SFC_SW_DWN,2020,11.5,77.5,5.423,6.0252,6.3326,6.439,6.0574,5.3765,5.0069,5.0059,4.6577,5.0297,4.3414,4.068,5.311
ALLSKY_SFC_SW_DWN,2020,11.5,78.5,5.2946,5.9258,6.4582,6.4246,6.0307,5.5111,5.1946,5.1221,4.7921,4.9603,4.175,3.7555,5.3011
ALLSKY_SFC_SW_DWN,2020,11.5,79.5,5.22,5.8061,6.4481,6.4411,6.0962,5.4833,5.0501,5.3035,4.7131,4.908,4.0718,3.5635,5.2567
ALLSKY_SFC_SW_DWN,2020,12.5,76.5,5.5577,6.1296,6.4351,6.5122,6.1346,5.0599,4.6032,4.4131,4.4102,4.7642,4.5787,4.4573,5.2512
ALLSKY_SFC_SW_DWN,2020,12.5,77.5,5.5154,6.1932,6.4862,6.5782,6.2762,5.4391,4.9296,4.6147,4.4705,4.733,4.3757,4.3697,5.3285
ALLSKY_SFC_SW_DWN,2020,12.5,78.5,5.2817,6.0418,6.5395,6.54,6.2143,5.491,5.2063,4.8439,4.6606,4.717,4.1815,4.0764,5.3134
ALLSKY_SFC_SW_DWN,2020,12.5,79.5,5.1336,5.7499,6.5234,6.4714,6.3187,5.6035,5.0906,4.7969,4.5696,4.6834,4.0438,3.833,5.2327
ALLSKY_SFC_SW_DWN,2020,13.5,76.5,5.435,6.1478,6.655,6.672,6.2782,5.2874,4.7935,4.374,4.5679,4.7698,4.643,4.4911,5.339
ALLSKY_SFC_SW_DWN,2020,13.5,77.5,5.3933,6.2162,6.6845,6.6922,6.4066,5.3522,5.0186,4.6385,4.6778,4.7316,4.4628,4.4626,5.3914
ALLSKY_SFC_SW_DWN,2020,13.5,78.5,5.1154,6.0797,6.5189,6.5998,6.4214,5.291,5.065,4.6879,4.6714,4.7261,4.1935,4.1258,5.2882
ALLSKY_SFC_SW_DWN,2020,13.5,79.5,4.9253,5.7806,6.5794,6.4992,6.4054,5.2181,5.0213,4.5406,4.5072,4.4126,3.87,3.8076,5.1283
ALLSKY_SFC_SW_DWN,2020,8.5,76.5,5.9743,6.2184,6.5765,6.5215,5.0688,4.7758,4.8977,5.3189,4.7066,5.3808,4.9589,4.513,5.4067
ALLSKY_SFC_SW_DWN,2020,8.5,77.5,5.4859,5.7826,6.149,6.0708,5.1182,5.297,5.0489,5.2022,4.6238,5.3803,4.4014,3.9494,5.2073
ALLSKY_SFC_SW_DWN,2020,8.5,78.5,5.5786,6.0516,6.445,6.409,5.5092,5.7485,5.2918,5.5757,5.3021,5.6335,4.5012,4.0433,5.5046
ALLSKY_SFC_SW_DWN,2020,8.5,79.5,5.747,6.2414,6.6605,6.7222,5.647,5.8584,5.291,5.7862,5.5015,5.6758,4.553,3.8119,5.6208
ALLSKY_SFC_SW_DWN,2020,9.5,76.5,5.9834,6.3067,6.6122,6.4884,5.1403,4.5559,4.6322,4.7904,4.2785,5.2757,5.0642,4.6483,5.3117
ALLSKY_SFC_SW_DWN,2020,9.5,77.5,5.4482,5.8044,6.2803,6.1646,5.3935,5.141,4.7875,4.9174,4.3474,4.9884,4.3442,3.8333,5.1185
ALLSKY_SFC_SW_DWN,2020,9.5,78.5,5.3863,5.9765,6.4135,6.4738,5.7394,5.7864,5.3683,5.6362,5.0976,5.4358,4.2322,3.8654,5.4487
ALLSKY_SFC_SW_DWN,2020,9.5,79.5,5.563,6.1771,6.6,6.6696,5.7341,5.8289,5.1878,5.677,5.1612,5.3873,4.1878,3.6077,5.4782
ALLSKY_SFC_SW_DWN,2021,10.5,76.5,4.7381,6.1334,6.5587,5.652,4.9277,4.9344,4.1374,4.4808,4.6577,4.0522,3.7296,5.0126,4.9099
ALLSKY_SFC_SW_DWN,2021,10.5,77.5,4.037,6.0002,6.659,5.9167,5.6242,5.5442,4.8204,5.0278,5.1098,4.411,3.4354,4.5029,5.0842
ALLSKY_SFC_SW_DWN,2021,10.5,78.5,4.0226,6.096,6.7008,6.1675,5.9155,5.6957,5.3902,5.2865,5.5116,4.721,3.3026,4.6428,5.2824
ALLSKY_SFC_SW_DWN,2021,10.5,79.5,4.0286,5.939,6.6358,6.1265,5.8579,5.5853,5.3383,5.1343,5.5087,4.4172,3.1478,4.5538,5.1842
ALLSKY_SFC_SW_DWN,2021,11.5,76.5,4.5281,6.0298,6.6259,5.6448,5.136,4.9514,3.9514,4.2266,4.579,4.0627,3.3019,4.746,4.8074
ALLSKY_SFC_SW_DWN,2021,11.5,77.5,4.2526,6.1435,6.851,6.089,5.8222,5.4415,4.6519,4.8641,5.101,4.4479,3.305,4.4983,5.1154
ALLSKY_SFC_SW_DWN,2021,11.5,78.5,3.9958,6.0974,6.7982,6.0775,5.9412,5.5126,5.1506,5.0717,5.3119,4.4482,3.0276,4.3946,5.1463
ALLSKY_SFC_SW_DWN,2021,11.5,79.5,3.9077,5.9674,6.7402,6.2525,6.0638,5.7578,5.3064,5.1619,5.3352,4.518,2.9484,4.5389,5.2034
ALLSKY_SFC_SW_DWN,2021,12.5,76.5,4.7383,6.0739,6.7901,6.0761,5.6916,5.2692,4.3958,4.6519,4.86,4.4868,3.5297,4.6788,5.0974
ALLSKY_SFC_SW_DWN,2021,12.5,77.5,4.5948,6.1882,6.9142,6.2244,5.9647,5.4883,4.5806,4.9001,5.0047,4.4758,3.2856,4.4261,5.1641
ALLSKY_SFC_SW_DWN,2021,12.5,78.5,4.2857,6.161,6.8856,6.2441,6.1721,5.5241,5.0652,5.1182,5.2037,4.302,2.8716,4.3207,5.1739
ALLSKY_SFC_SW_DWN,2021,12.5,79.5,4.1366,6.0122,6.7598,6.3029,6.2568,5.6182,5.3938,5.2639,5.2303,4.4935,2.6717,4.3968,5.2075
ALLSKY_SFC_SW_DWN,2021,13.5,76.5,4.8816,6.048,6.8724,6.2986,5.8781,5.4216,4.5581,4.6805,4.9092,4.4206,3.5405,4.5629,5.167
ALLSKY_SFC_SW_DWN,2021,13.5,77.5,4.769,6.151,6.9566,6.4922,6.1793,5.4362,4.752,4.7815,4.9812,4.4839,3.324,4.4498,5.2241
ALLSKY_SFC_SW_DWN,2021,13.5,78.5,4.4969,6.1114,6.8294,6.3982,6.3122,5.5176,4.9771,4.9375,5.1797,4.3764,3.073,4.2293,5.1974
ALLSKY_SFC_SW_DWN,2021,13.5,79.5,4.272,5.9402,6.7428,6.305,6.1414,5.557,5.1194,5.0527,4.9872,4.4407,2.6717,4.1357,5.1096
ALLSKY_SFC_SW_DWN,2021,8.5,76.5,4.8643,6.3125,6.486,6.001,4.7551,5.4137,5.1878,5.0789,5.381,4.5238,3.9372,5.3906,5.2702
ALLSKY_SFC_SW_DWN,2021,8.5,77.5,4.303,6.0682,6.2124,5.8716,4.853,5.6045,5.3698,5.2234,5.3918,4.3522,3.6492,4.8367,5.1372
ALLSKY_SFC_SW_DWN,2021,8.5,78.5,4.5317,6.209,6.3782,6.2158,5.5793,5.8877,5.6705,5.5226,5.8966,4.8864,3.84,5.0822,5.4691
ALLSKY_SFC_SW_DWN,2021,8.5,79.5,4.6514,6.2942,6.3758,6.3691,5.6803,6.0158,5.8745,5.6266,6.0182,4.999,4.1141,5.0834,5.5858
ALLSKY_SFC_SW_DWN,2021,9.5,76.5,4.9778,6.4032,6.6341,5.8562,4.8257,5.2099,4.5106,4.632,4.9279,4.3565,3.8244,5.4574,5.1262
ALLSKY_SFC_SW_DWN,2021,9.5,77.5,4.2206,6.1102,6.5134,5.6875,5.1334,5.2946,4.4767,4.5547,4.7417,4.1916,3.4721,4.8972,4.9332
ALLSKY_SFC_SW_DWN,2021,9.5,78.5,4.2372,6.1973,6.6161,6.2184,5.7706,5.7072,5.5037,5.2606,5.6866,4.6166,3.708,5.099,5.3791
ALLSKY_SFC_SW_DWN,2021,9.5,79.5,4.523,6.1692,6.5218,6.2585,5.8234,5.7708,5.5226,5.3623,5.7154,4.6032,3.6598,4.8732,5.3945
ALLSKY_SFC_SW_DWN,2022,10.5,76.5,5.4077,5.8282,6.0295,5.4626,4.2835,4.9394,4.0294,4.3858,5.1919,4.7388,4.2778,4.4153,4.9078
ALLSKY_SFC_SW_DWN,2022,10.5,77.5,4.8977,5.5272,5.9803,5.7226,5.1722,5.6086,4.7633,5.0335,5.7082,4.6039,3.9194,4.1412,5.0846
ALLSKY_SFC_SW_DWN,2022,10.5,78.5,4.981,5.5853,6.0775,6.1411,5.5776,5.7641,5.2934,5.4571,5.7422,4.7234,4.0447,4.1134,5.2879
ALLSKY_SFC_SW_DWN,2022,10.5,79.5,4.7921,5.4679,5.9868,6.1399,5.6798,5.6482,5.1768,5.3347,5.6798,4.3382,3.8731,3.9362,5.167
ALLSKY_SFC_SW_DWN,2022,11.5,76.5,5.1929,5.8344,5.9002,5.6467,4.4602,4.9843,3.7474,4.2564,4.9303,4.4436,4.0822,4.4237,4.8158
ALLSKY_SFC_SW_DWN,2022,11.5,77.5,4.9378,5.9054,5.9554,6.0869,5.2248,5.5853,4.5641,4.9166,5.2985,4.7561,4.0097,4.205,5.1127
ALLSKY_SFC_SW_DWN,2022,11.5,78.5,4.7882,5.6993,5.9254,6.2933,5.3544,5.7382,4.9658,5.0542,5.365,4.5274,3.7987,3.9362,5.1137
ALLSKY_SFC_SW_DWN,2022,11.5,79.5,4.6879,5.5274,5.8274,6.3638,5.5997,5.8356,5.1703,5.2826,5.3671,4.4266,3.8395,3.9216,5.149
ALLSKY_SFC_SW_DWN,2022,12.5,76.5,5.2728,6.0353,6.2119,6.271,4.9958,5.3585,4.0862,4.4885,4.9294,4.6985,4.2353,4.4806,5.0796
ALLSKY_SFC_SW_DWN,2022,12.5,77.5,5.135,6.0922,6.1013,6.3326,5.2526,5.6407,4.3183,4.53,4.9418,4.6291,4.055,4.3118,5.1022
ALLSKY_SFC_SW_DWN,2022,12.5,78.5,4.7969,5.899,6.0144,6.6209,5.3496,5.8308,4.7978,4.8643,5.1398,4.5427,3.7951,3.9058,5.1211
ALLSKY_SFC_SW_DWN,2022,12.5,79.5,4.661,5.6621,5.8978,6.6583,5.5037,5.9234,5.1329,5.1773,5.1814,4.4983,3.5923,3.8105,5.135
ALLSKY_SFC_SW_DWN,2022,13.5,76.5,5.257,6.1274,6.1944,6.2544,5.2627,5.5642,4.1568,4.5941,4.8151,4.7448,4.2535,4.4434,5.13
ALLSKY_SFC_SW_DWN,2022,13.5,77.5,5.1826,6.1889,6.2278,6.4874,5.3566,5.8332,4.3978,4.7338,4.9812,4.7664,4.1556,4.3051,5.2085
ALLSKY_SFC_SW_DWN,2022,13.5,78.5,4.8432,6.019,6.0991,6.6384,5.3717,5.825,4.7638,4.9541,5.1266,4.7477,3.8544,3.9257,5.1718
ALLSKY_SFC_SW_DWN,2022,13.5,79.5,4.5331,5.747,6.0094,6.6235,5.4108,5.79,4.854,4.9985,5.022,4.4398,3.5095,3.6989,5.0453
ALLSKY_SFC_SW_DWN,2022,8.5,76.5,5.8332,5.8745,6.3295,5.7739,4.7462,5.1005,4.9349,4.8941,5.777,5.0278,4.6145,4.5442,5.2824
ALLSKY_SFC_SW_DWN,2022,8.5,77.5,5.2121,5.4924,6.138,5.538,5.1223,5.4818,4.883,4.9606,5.8958,4.9157,4.3438,4.1402,5.173
ALLSKY_SFC_SW_DWN,2022,8.5,78.5,5.3674,5.8711,6.2429,6.0629,5.5296,5.6352,5.1346,5.4545,5.9455,4.9267,4.4597,4.2175,5.3988
ALLSKY_SFC_SW_DWN,2022,8.5,79.5,5.4554,5.8757,6.2964,6.1421,5.7989,5.6717,5.2423,5.5387,6.0641,4.997,4.4892,4.1179,5.4696
ALLSKY_SFC_SW_DWN,2022,9.5,76.5,5.8354,6.0485,6.2976,5.7242,4.4611,4.9822,4.3349,4.4102,5.6098,5.1881,4.6956,4.7614,5.1881
ALLSKY_SFC_SW_DWN,2022,9.5,77.5,5.1665,5.5025,6.1558,5.6309,5.0153,5.1187,4.3642,4.5262,5.6268,4.7227,4.2967,4.2185,5.0232
ALLSKY_SFC_SW_DWN,2022,9.5,78.5,5.1487,5.6976,6.222,6.0566,5.755,5.7257,5.2522,5.4602,5.9419,4.6517,4.2511,4.2624,5.3647
ALLSKY_SFC_SW_DWN,2022,9.5,79.5,5.251,5.6818,6.1908,5.9683,5.7586,5.7787,5.1197,5.3614,5.8464,4.686,4.1758,4.1189,5.3239
ALLSKY_SFC_SW_DWN,2023,10.5,76.5,5.4454,6.2455,6.3317,6.3286,5.4871,4.6471,4.0133,5.7439,4.3901,4.8178,4.6121,4.5178,5.209
ALLSKY_SFC_SW_DWN,2023,10.5,77.5,5.2169,6.114,6.1812,6.343,5.7382,5.6707,4.8617,6.1538,5.2013,4.8725,4.0428,3.7418,5.3388
ALLSKY_SFC_SW_DWN,2023,10.5,78.5,5.1175,5.9448,6.2719,6.5179,5.8397,5.8368,5.2368,6.2486,5.5634,5.1127,4.175,3.7807,5.466
ALLSKY_SFC_SW_DWN,2023,10.5,79.5,4.8754,5.8286,6.2434,6.3238,5.6618,5.7535,5.1643,6.217,5.6597,4.8667,3.5758,3.6907,5.3174
ALLSKY_SFC_SW_DWN,2023,11.5,76.5,5.5637,6.36,6.2604,6.2179,5.5313,4.9649,3.8362,5.2682,4.5271,4.7131,4.3526,4.2408,5.1446
ALLSKY_SFC_SW_DWN,2023,11.5,77.5,5.3671,6.2582,6.3614,6.4409,5.8524,5.5786,4.5487,5.7245,5.1857,5.1163,4.2074,3.8585,5.3678
ALLSKY_SFC_SW_DWN,2023,11.5,78.5,5.0971,6.0835,6.174,6.3929,5.7526,5.6633,4.8389,5.6508,5.5572,4.9404,4.0162,3.6523,5.311
ALLSKY_SFC_SW_DWN,2023,11.5,79.5,4.9541,5.9028,6.2474,6.4692,5.8104,5.5346,4.9793,5.91,5.6796,4.7508,3.768,3.57,5.2922
ALLSKY_SFC_SW_DWN,2023,12.5,76.5,5.6556,6.5412,6.5311,6.5731,6.0756,5.4034,4.1155,5.4674,4.8206,5.1492,4.4746,4.3027,5.4178
ALLSKY_SFC_SW_DWN,2023,12.5,77.5,5.5349,6.4272,6.4675,6.6444,6.0067,5.6717,4.2826,5.521,5.059,5.131,4.2893,4.097,5.4197
ALLSKY_SFC_SW_DWN,2023,12.5,78.5,5.1636,6.2827,6.1997,6.559,5.8862,5.5409,4.7134,5.5538,5.3738,5.0923,3.9866,3.6763,5.3275
ALLSKY_SFC_SW_DWN,2023,12.5,79.5,4.9205,6.0715,6.1481,6.5131,5.8634,5.4965,4.8062,5.7281,5.5546,5.0911,3.762,3.5311,5.2836
ALLSKY_SFC_SW_DWN,2023,13.5,76.5,5.61,6.5131,6.4879,6.8076,6.3552,5.443,4.1258,5.3549,4.7854,5.0556,4.3097,4.4045,5.43
ALLSKY_SFC_SW_DWN,2023,13.5,77.5,5.5632,6.444,6.5359,6.8959,6.3346,5.6215,4.3092,5.4005,4.8658,5.2224,4.1976,4.2062,5.459
ALLSKY_SFC_SW_DWN,2023,13.5,78.5,5.2294,6.3103,6.276,6.6914,6.0562,5.6916,4.5221,5.5464,5.1235,5.2865,3.887,3.7442,5.3561
ALLSKY_SFC_SW_DWN,2023,13.5,79.5,4.9781,6.1721,6.0091,6.6125,5.8025,5.483,4.368,5.5589,5.1444,5.0666,3.6432,3.5486,5.1907
ALLSKY_SFC_SW_DWN,2023,8.5,76.5,5.5529,6.1378,6.4694,6.4008,5.7274,4.6308,5.0818,6.18,4.5072,4.9754,4.5749,4.8523,5.4228
ALLSKY_SFC_SW_DWN,2023,8.5,77.5,5.1046,5.9412,5.9434,5.9808,5.7022,5.6755,5.1274,6.1538,4.8876,4.7335,4.1374,3.9739,5.2759
ALLSKY_SFC_SW_DWN,2023,8.5,78.5,5.0714,5.7953,6.1999,6.1526,5.5666,5.8138,5.4881,6.0833,5.6518,4.9536,4.2941,3.9818,5.4173
ALLSKY_SFC_SW_DWN,2023,8.5,79.5,5.0558,5.9222,6.4001,6.611,5.5111,6.0103,5.7322,6.4378,5.91,4.9966,4.439,3.9396,5.5759
ALLSKY_SFC_SW_DWN,2023,9.5,76.5,5.6988,6.1838,6.635,6.545,5.6719,4.5331,4.4326,6.0163,4.307,5.1226,4.8826,4.9414,5.4118
ALLSKY_SFC_SW_DWN,2023,9.5,77.5,5.2675,6.023,6.1116,6.1214,5.6712,5.3251,4.5751,6.0036,4.6462,4.6591,4.272,4.019,5.2195
ALLSKY_SFC_SW_DWN,2023,9.5,78.5,5.0266,5.9808,6.3086,6.395,5.7598,5.7677,5.532,6.2491,5.4461,4.7746,4.2569,3.985,5.4523
ALLSKY_SFC_SW_DWN,2023,9.5,79.5,4.9632,5.9371,6.3806,6.4394,5.4566,5.7638,5.3988,6.0946,5.6395,4.9759,4.0781,3.8743,5.4118
ALLSKY_SFC_SW_DWN,2024,10.5,76.5,5.1235,6.2681,6.5124,6.3283,4.5502,4.1887,3.5746,4.6337,5.3316,4.5931,4.5646,4.4556,5.0026
ALLSKY_SFC_SW_DWN,2024,10.5,77.5,4.589,6.0434,6.6113,6.5635,5.0798,5.1365,4.4729,5.249,5.9002,4.6296,3.9691,4.1326,5.1914
ALLSKY_SFC_SW_DWN,2024,10.5,78.5,4.5055,5.8519,6.6101,6.72,5.3172,5.5946,5.0489,5.6119,5.9779,4.8586,3.7085,4.0704,5.3182
ALLSKY_SFC_SW_DWN,2024,10.5,79.5,4.5602,5.8901,6.6214,6.5834,5.1787,5.5474,5.1941,5.6714,5.8594,4.645,3.3588,3.8033,5.2382
ALLSKY_SFC_SW_DWN,2024,11.5,76.5,4.7472,6.355,6.5047,6.6684,4.6114,4.4093,3.4248,4.3826,4.9769,4.2245,4.3082,4.2713,4.8972
ALLSKY_SFC_SW_DWN,2024,11.5,77.5,4.6594,6.1548,6.6334,6.8753,5.1854,5.2349,4.2204,5.1785,5.4341,4.5715,4.0632,4.0901,5.1842
ALLSKY_SFC_SW_DWN,2024,11.5,78.5,4.506,5.8877,6.6454,6.8784,5.135,5.4542,4.627,5.4451,5.7605,4.5048,3.781,3.6679,5.1842
ALLSKY_SFC_SW_DWN,2024,11.5,79.5,4.5701,5.9633,6.5388,6.8652,5.3357,5.5075,4.853,5.6767,5.6393,4.6498,3.6125,3.7594,5.2418
ALLSKY_SFC_SW_DWN,2024,12.5,76.5,4.7258,6.4435,6.6386,6.9739,5.3662,4.9241,3.7529,4.6584,4.9858,4.5223,4.2811,4.2149,5.1149
ALLSKY_SFC_SW_DWN,2024,12.5,77.5,4.8646,6.3581,6.7145,7.0409,5.3695,5.2572,3.9638,4.9111,5.0902,4.5029,4.14,3.9629,5.1727
ALLSKY_SFC_SW_DWN,2024,12.5,78.5,4.733,6.0223,6.7294,7.1335,5.4276,5.4007,4.3692,5.2942,5.375,4.4616,3.9559,3.7279,5.2121
ALLSKY_SFC_SW_DWN,2024,12.5,79.5,4.6042,5.897,6.5707,7.0164,5.5416,5.4062,4.6898,5.4866,5.4055,4.6214,3.7949,3.6185,5.2154
ALLSKY_SFC_SW_DWN,2024,13.5,76.5,4.8425,6.5102,6.5342,6.9055,5.8234,5.0657,3.8206,4.6728,4.9138,4.4374,4.3512,4.0466,5.1514
ALLSKY_SFC_SW_DWN,2024,13.5,77.5,4.943,6.4591,6.606,7.0826,5.7847,5.2382,4.1225,4.9111,5.076,4.471,4.1796,3.9326,5.2255
ALLSKY_SFC_SW_DWN,2024,13.5,78.5,4.7794,6.163,6.5846,7.1659,5.7154,5.3081,4.3572,5.2224,5.1026,4.4791,3.941,3.6245,5.1965
ALLSKY_SFC_SW_DWN,2024,13.5,79.5,4.5614,5.9309,6.529,7.0354,5.6899,5.0827,4.411,5.2145,5.0846,4.4508,3.6367,3.4358,5.0827
ALLSKY_SFC_SW_DWN,2024,8.5,76.5,5.2788,6.4219,6.6077,6.258,3.9778,4.4047,4.2305,5.2553,5.6798,4.5934,4.3092,4.8768,5.1509
ALLSKY_SFC_SW_DWN,2024,8.5,77.5,4.728,5.8226,6.51,5.9693,4.5173,4.8161,4.5991,5.3412,5.731,4.8062,3.7898,4.3922,5.0813
ALLSKY_SFC_SW_DWN,2024,8.5,78.5,4.6349,6.0012,6.4282,6.3041,4.8098,5.3347,5.1307,5.73,5.8886,5.0186,3.9564,4.4726,5.3047
ALLSKY_SFC_SW_DWN,2024,8.5,79.5,4.9752,6.2885,6.7402,6.4894,4.8617,5.5721,5.5649,5.8522,6.1877,5.0273,3.9679,4.613,5.507
ALLSKY_SFC_SW_DWN,2024,9.5,76.5,5.4394,6.6151,6.7531,6.4692,4.3346,4.1717,3.9007,4.7988,5.4038,4.9027,4.6169,4.805,5.1766
ALLSKY_SFC_SW_DWN,2024,9.5,77.5,4.8168,6.126,6.667,6.2832,4.6858,4.6351,4.1323,4.8082,5.4533,4.5691,3.9833,4.3166,5.0333
ALLSKY_SFC_SW_DWN,2024,9.5,78.5,4.6973,5.8927,6.6794,6.4039,5.2291,5.5303,5.2399,5.6666,5.9347,4.6152,3.6581,4.3526,5.3213
ALLSKY_SFC_SW_DWN,2024,9.5,79.5,4.8216,6.1639,6.5868,6.4656,4.9942,5.5147,5.3342,5.6818,5.8918,4.7359,3.4757,4.2684,5.3232
ALLSKY_SFC_SW_DWN,2025,10.5,76.5,5.2301,6.4558,6.1445,5.7214,4.5979,4.2036,3.8386,4.1854,5.0866,4.5893,4.3073,4.8682,4.9243
ALLSKY_SFC_SW_DWN,2025,10.5,77.5,4.65,6.3595,6.1716,5.9861,5.0662,5.1384,4.7964,4.9795,5.3074,4.583,3.8566,4.5031,5.1067
ALLSKY_SFC_SW_DWN,2025,10.5,78.5,4.4698,6.1349,6.2585,6.2885,5.4833,5.7444,5.3515,5.2058,5.447,4.6879,3.8556,4.6008,5.2867
ALLSKY_SFC_SW_DWN,2025,10.5,79.5,4.2701,5.9983,6.24,6.1428,5.4958,5.8361,5.4559,5.2906,5.2649,4.548,3.6408,4.3382,5.2034
ALLSKY_SFC_SW_DWN,2025,11.5,76.5,5.3556,6.5354,6.1978,5.7269,4.6097,4.3788,3.6617,4.068,4.6133,4.4326,4.3668,4.8936,4.8914
ALLSKY_SFC_SW_DWN,2025,11.5,77.5,4.951,6.5071,6.3101,6.1973,5.1955,5.0618,4.5139,4.7042,4.9774,4.561,4.0171,4.7184,5.1326
ALLSKY_SFC_SW_DWN,2025,11.5,78.5,4.5686,6.2995,6.3043,6.1546,5.2606,5.4974,4.9044,4.909,5.2543,4.4921,3.7526,4.4237,5.1422
ALLSKY_SFC_SW_DWN,2025,11.5,79.5,4.5331,6.1106,6.3391,6.2239,5.352,5.7778,5.1137,4.8271,5.1394,4.3356,3.6624,4.2893,5.1334
ALLSKY_SFC_SW_DWN,2025,12.5,76.5,5.4398,6.5772,6.6082,6.3994,5.1658,4.7429,3.9893,4.1957,4.6747,4.5413,4.5792,4.9234,5.142
ALLSKY_SFC_SW_DWN,2025,12.5,77.5,5.2344,6.5858,6.5486,6.3317,5.3621,5.0669,4.2226,4.3572,4.693,4.6121,4.2497,4.8216,5.1631
ALLSKY_SFC_SW_DWN,2025,12.5,78.5,4.7623,6.4483,6.5335,6.325,5.358,5.4089,4.728,4.8312,5.1041,4.4858,3.9569,4.4671,5.1905
ALLSKY_SFC_SW_DWN,2025,12.5,79.5,4.3894,6.2237,6.4678,6.3552,5.3407,5.6479,5.1545,4.9925,5.2212,4.3188,3.8297,4.1976,5.1686
ALLSKY_SFC_SW_DWN,2025,13.5,76.5,5.3352,6.4577,6.6322,6.4726,5.3179,4.915,3.8923,4.313,4.7165,4.5943,4.6142,4.8233,5.1631
ALLSKY_SFC_SW_DWN,2025,13.5,77.5,5.287,6.4682,6.7114,6.4522,5.5123,5.0892,4.2118,4.4575,4.6776,4.6543,4.35,4.7717,5.2109
ALLSKY_SFC_SW_DWN,2025,13.5,78.5,4.902,6.3763,6.7046,6.4766,5.4127,5.3345,4.6906,4.7438,4.8768,4.4354,3.9571,4.2629,5.1715
ALLSKY_SFC_SW_DWN,2025,13.5,79.5,4.5036,6.1726,6.5957,6.4243,5.2699,5.3249,4.9356,4.9318,4.829,4.032,3.7615,3.7922,5.0381
ALLSKY_SFC_SW_DWN,2025,8.5,76.5,5.2906,6.5155,6.0026,5.8999,4.7717,4.9126,4.7496,5.394,5.5135,4.8101,4.1578,5.3474,5.2721
ALLSKY_SFC_SW_DWN,2025,8.5,77.5,4.4143,6.1334,5.7619,5.5214,4.9946,5.0738,4.9447,5.3549,5.479,4.6378,3.8162,4.8586,5.075
ALLSKY_SFC_SW_DWN,2025,8.5,78.5,4.3066,6.0701,6.1322,6.0401,5.413,5.7082,5.4982,5.6938,5.7238,4.9013,3.7846,4.7213,5.3268
ALLSKY_SFC_SW_DWN,2025,8.5,79.5,4.105,6.257,6.4291,6.3415,5.6338,6.0521,5.8942,5.9242,5.9443,5.0342,3.8054,4.6332,5.4979
ALLSKY_SFC_SW_DWN,2025,9.5,76.5,5.3532,6.6401,6.2131,5.9518,4.7875,4.3517,4.1398,4.5804,5.1444,4.848,4.3884,5.2961,5.131
ALLSKY_SFC_SW_DWN,2025,9.5,77.5,4.5686,6.2986,5.8915,5.6138,4.8487,4.7474,4.4544,4.6771,4.8941,4.4918,3.9374,4.7525,4.9217
ALLSKY_SFC_SW_DWN,2025,9.5,78.5,4.4107,6.1582,6.1678,6.2023,5.6134,5.7254,5.5152,5.5654,5.4338,4.8355,3.8892,4.7534,5.3498
ALLSKY_SFC_SW_DWN,2025,9.5,79.5,4.241,6.101,6.4507,6.2441,5.6194,5.9222,5.549,5.5807,5.3611,4.9015,3.7558,4.5314,5.3491
