-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - UTTRAKHAND,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,29.5,77.5,2.6136,4.1203,5.0966,6.2911,6.6065,6.2395,5.1698,4.5886,5.2882,4.9944,3.637,3.0442,4.805
ALLSKY_SFC_SW_DWN,2020,29.5,78.5,2.8152,4.3291,5.3806,6.3514,6.7459,6.3242,4.9618,4.3733,5.274,5.4146,4.0454,3.3607,4.9454
ALLSKY_SFC_SW_DWN,2020,29.5,79.5,2.8277,4.3735,5.3244,6.2011,6.6058,5.7905,4.4494,4.1786,5.1494,5.4998,4.0495,3.5506,4.8307
ALLSKY_SFC_SW_DWN,2020,29.5,80.5,2.9662,4.5708,5.3935,6.1481,6.5926,5.7974,4.6145,4.5427,5.183,5.7422,4.2638,3.8746,4.9723
ALLSKY_SFC_SW_DWN,2020,30.5,77.5,2.8867,4.5072,4.9625,6.2578,6.7757,6.4786,5.2594,4.4306,5.5594,5.5745,3.9382,3.5981,5.016
ALLSKY_SFC_SW_DWN,2020,30.5,78.5,2.7698,4.4122,4.8672,5.9026,6.6125,6.5474,5.2298,4.4422,5.4902,5.8082,4.0488,3.7128,4.9846
ALLSKY_SFC_SW_DWN,2020,30.5,79.5,2.2414,3.8534,4.2569,5.2236,5.9218,6.2258,5.3129,4.9198,5.5262,5.6755,3.5458,3.3041,4.6666
ALLSKY_SFC_SW_DWN,2020,30.5,80.5,2.1451,3.9823,4.4861,5.9136,6.4754,7.0666,5.9652,5.5867,6.3406,6.1951,4.1306,3.6766,5.1624
ALLSKY_SFC_SW_DWN,2020,31.5,77.5,2.6107,3.9737,4.2653,5.646,6.2664,6.3917,5.3347,4.7863,5.8126,5.6246,3.4358,3.2894,4.7851
ALLSKY_SFC_SW_DWN,2020,31.5,78.5,2.5805,4.5096,5.2049,6.4267,6.1944,7.1731,6.2822,5.9215,6.3578,5.8774,3.2736,3.2906,5.2558
ALLSKY_SFC_SW_DWN,2020,31.5,79.5,2.6798,4.621,5.4816,6.8974,6.9089,7.9574,7.0054,6.636,6.9761,6.1591,4.0349,3.5081,5.737
ALLSKY_SFC_SW_DWN,2020,31.5,80.5,3.2208,5.0614,5.7209,7.0788,7.0061,8.0969,6.9823,6.5546,7.0277,6.3274,4.3692,3.9199,5.9443
ALLSKY_SFC_SW_DWN,2021,29.5,77.5,2.653,4.3032,5.4566,6.5813,6.0521,6.2441,4.6241,4.8583,4.3896,4.583,3.8479,3.0413,4.717
ALLSKY_SFC_SW_DWN,2021,29.5,78.5,3.113,4.6459,5.821,6.7102,6.1181,6.3106,4.6697,4.6478,4.5374,4.751,4.296,3.2861,4.9049
ALLSKY_SFC_SW_DWN,2021,29.5,79.5,3.5892,4.8,5.9112,6.5441,5.7847,5.5471,4.2598,4.3092,4.6606,4.7604,4.2924,3.2333,4.8026
ALLSKY_SFC_SW_DWN,2021,29.5,80.5,4.0481,5.0155,5.9712,6.5834,5.8087,5.4473,4.5989,4.5204,4.769,4.9627,4.5221,3.3972,4.9661
ALLSKY_SFC_SW_DWN,2021,30.5,77.5,3.4452,4.6697,5.6858,6.4692,6.2393,6.4841,4.6178,4.7371,4.308,4.8979,4.4088,3.3559,4.9404
ALLSKY_SFC_SW_DWN,2021,30.5,78.5,3.8386,4.7806,5.8238,6.3173,6.0674,6.3144,4.7302,4.7729,4.3178,4.8701,4.5106,3.3362,4.9706
ALLSKY_SFC_SW_DWN,2021,30.5,79.5,3.5251,4.2151,5.089,5.5822,5.3026,5.6518,5.0052,5.1168,4.5514,4.447,4.0644,2.939,4.6238
ALLSKY_SFC_SW_DWN,2021,30.5,80.5,3.9629,4.4688,5.4703,5.8186,6.2311,6.2724,5.917,5.8471,4.9658,5.0875,4.6481,2.8274,5.1286
ALLSKY_SFC_SW_DWN,2021,31.5,77.5,3.4877,4.2286,5.1598,5.7266,5.7768,6.1786,4.8266,4.9526,4.2787,4.7405,4.2014,3.0679,4.7186
ALLSKY_SFC_SW_DWN,2021,31.5,78.5,3.6252,4.8619,5.7746,6.2563,5.8987,6.6994,5.9119,6.0185,4.8703,5.0746,4.5986,3.0221,5.2164
ALLSKY_SFC_SW_DWN,2021,31.5,79.5,3.671,5.0405,6.4166,6.7128,6.4346,7.4707,6.6043,7.2139,5.701,5.094,4.6423,2.9114,5.6594
ALLSKY_SFC_SW_DWN,2021,31.5,80.5,3.8587,4.8902,6.1178,6.5976,6.5897,7.59,6.7565,7.2264,5.5949,5.413,4.758,3.6326,5.755
ALLSKY_SFC_SW_DWN,2022,29.5,77.5,2.1749,4.1659,5.7677,6.5777,6.2537,5.9059,4.7964,5.2692,4.596,4.4652,3.6367,3.0535,4.7215
ALLSKY_SFC_SW_DWN,2022,29.5,78.5,2.5776,4.338,6.0295,6.8551,6.4562,6.1999,5.0222,5.1706,4.5782,4.6337,3.9698,3.4368,4.939
ALLSKY_SFC_SW_DWN,2022,29.5,79.5,2.8798,4.2259,6.1174,6.882,5.9441,6.1956,4.7484,4.8624,4.2986,4.4837,4.0346,3.6734,4.8619
ALLSKY_SFC_SW_DWN,2022,29.5,80.5,3.2184,4.2989,6.3043,6.9564,5.7614,6.1752,4.9339,4.9586,4.3387,4.4095,4.2718,3.9792,4.9675
ALLSKY_SFC_SW_DWN,2022,30.5,77.5,2.6321,4.3944,6.1891,6.9864,6.4632,6.1358,4.7146,5.083,4.6469,4.9061,4.0764,3.522,4.9788
ALLSKY_SFC_SW_DWN,2022,30.5,78.5,2.9083,4.2175,6.179,6.9809,6.1363,6.4111,4.8276,5.0002,4.4902,4.7962,4.105,3.719,4.9817
ALLSKY_SFC_SW_DWN,2022,30.5,79.5,2.7235,3.581,5.5409,6.2534,5.3897,6.3576,4.908,4.8029,4.3728,4.0526,3.7123,3.5729,4.6078
ALLSKY_SFC_SW_DWN,2022,30.5,80.5,2.8248,3.4987,5.8862,7.8996,5.8315,7.1215,5.4605,5.2486,4.8914,4.5113,4.2773,4.2847,5.1482
ALLSKY_SFC_SW_DWN,2022,31.5,77.5,2.6285,3.7846,5.7319,6.5767,5.8687,5.9551,4.4878,4.8715,4.4042,4.6586,3.6444,3.372,4.6673
ALLSKY_SFC_SW_DWN,2022,31.5,78.5,3.2124,4.241,6.3427,7.5463,6.3118,6.9242,5.5394,5.3561,4.7971,4.6932,4.1405,3.8714,5.2498
ALLSKY_SFC_SW_DWN,2022,31.5,79.5,3.4726,4.4477,6.5777,7.7107,6.8198,7.901,6.0079,5.803,5.6806,4.8468,4.1839,4.0894,5.6299
ALLSKY_SFC_SW_DWN,2022,31.5,80.5,3.851,4.6291,6.2731,7.6481,6.8088,8.0998,6.4219,5.8728,5.5769,4.6735,4.1333,4.1741,5.6813
ALLSKY_SFC_SW_DWN,2023,29.5,77.5,2.5469,4.6812,4.973,6.245,6.3012,5.6921,4.5451,4.8271,5.1372,4.7477,3.1651,2.999,4.6505
ALLSKY_SFC_SW_DWN,2023,29.5,78.5,2.981,4.8643,5.1487,6.4769,6.5405,5.922,4.4117,4.4258,4.9591,5.0582,3.7104,3.4598,4.8247
