-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - WB,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,21.5,86.5,3.7925,4.3051,5.3825,5.4869,5.6719,4.6721,4.6932,3.8738,4.3457,4.1038,4.1736,3.8186,4.5264
ALLSKY_SFC_SW_DWN,2020,21.5,87.5,3.6562,4.2137,5.4758,5.5327,5.5469,4.8763,4.9668,4.1242,4.6423,4.1388,4.2286,3.6401,4.5864
ALLSKY_SFC_SW_DWN,2020,21.5,88.5,3.6571,4.1011,5.3914,5.5639,5.5265,4.6301,4.5958,3.6727,4.6973,4.1659,4.169,3.5822,4.4784
ALLSKY_SFC_SW_DWN,2020,21.5,89.5,3.666,4.2998,5.4418,5.5426,5.6232,4.4465,4.6258,3.7886,4.5564,4.2274,4.3169,3.7603,4.5238
ALLSKY_SFC_SW_DWN,2020,22.5,86.5,3.7308,4.3798,5.3458,5.7504,5.9664,4.7422,4.7203,4.1354,4.4621,4.3942,4.157,3.684,4.6219
ALLSKY_SFC_SW_DWN,2020,22.5,87.5,3.5122,4.1765,5.365,5.5596,5.6249,4.7659,4.6548,4.1628,4.4237,4.411,4.1398,3.3454,4.5113
ALLSKY_SFC_SW_DWN,2020,22.5,88.5,3.4507,4.1333,5.3599,5.4895,5.3849,4.5144,4.5468,3.8616,4.2384,4.2276,4.1114,3.3096,4.3848
ALLSKY_SFC_SW_DWN,2020,22.5,89.5,3.4992,4.283,5.4494,5.4262,5.4564,4.4671,4.3654,3.9972,4.1813,4.1556,4.2931,3.4783,4.4198
ALLSKY_SFC_SW_DWN,2020,23.5,86.5,3.4882,4.415,5.2188,5.8798,5.6143,4.5775,4.2103,4.1993,4.3282,4.5199,3.9977,3.2119,4.4695
ALLSKY_SFC_SW_DWN,2020,23.5,87.5,3.2215,4.1011,5.1144,5.5682,5.2814,4.6918,4.4045,4.2504,4.3322,4.4729,4.0375,3.0086,4.3721
