-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Bihar,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,24.5,83.5,3.4898,4.6238,5.37,6.3761,6.6223,4.5173,4.1722,4.4863,4.4054,4.6934,4.0543,3.2794,4.6728
ALLSKY_SFC_SW_DWN,2020,24.5,84.5,3.4481,4.6058,5.3614,6.2182,6.4327,4.6318,4.1789,4.627,4.469,4.627,3.9799,3.2551,4.6512
ALLSKY_SFC_SW_DWN,2020,24.5,85.5,3.2201,4.3241,5.245,5.9208,6.1296,4.5907,4.1117,4.5667,4.3078,4.597,3.9324,3.0804,4.5012
ALLSKY_SFC_SW_DWN,2020,24.5,86.5,3.2762,4.3435,5.297,5.8418,5.7113,4.7242,3.9797,4.5026,3.9698,4.573,3.9588,3.1013,4.4386
ALLSKY_SFC_SW_DWN,2020,24.5,87.5,3.133,4.0728,5.0059,5.3863,5.1823,4.6598,3.8002,4.4383,3.9874,4.5367,3.9823,2.8714,4.253
ALLSKY_SFC_SW_DWN,2020,25.5,83.5,2.7886,4.2782,5.245,6.2131,6.5654,4.4486,3.8093,4.6116,4.171,4.6735,3.7174,2.6954,4.4333
ALLSKY_SFC_SW_DWN,2020,25.5,84.5,2.7324,4.2182,5.2409,6.1687,6.341,4.5646,3.8784,4.824,4.1707,4.5485,3.702,2.6959,4.4225
ALLSKY_SFC_SW_DWN,2020,25.5,85.5,2.7046,4.2084,5.316,6.0403,6.1248,4.5871,3.7589,4.9015,4.0553,4.6553,3.9492,2.8579,4.4287
ALLSKY_SFC_SW_DWN,2020,25.5,86.5,2.8126,4.2182,5.3556,5.9213,5.7199,4.5362,3.8568,4.7556,3.755,4.5617,3.9694,2.8236,4.3558
ALLSKY_SFC_SW_DWN,2020,25.5,87.5,2.911,4.062,5.3167,5.6897,5.2313,4.5331,3.7145,4.6145,3.4925,4.6121,4.1292,3.0559,4.2794
ALLSKY_SFC_SW_DWN,2020,26.5,83.5,2.4367,4.2084,5.2922,6.2006,6.3444,4.2473,3.6367,4.938,4.1198,4.6582,3.6211,2.561,4.3541
ALLSKY_SFC_SW_DWN,2020,26.5,84.5,2.4276,4.0435,5.2646,6.1615,6.1337,4.4018,3.697,5.0009,3.9758,4.5264,3.6305,2.5502,4.3169
ALLSKY_SFC_SW_DWN,2020,26.5,85.5,2.5255,4.0987,5.3256,5.9515,5.8675,4.4974,3.7034,5.1804,3.9792,4.6205,3.8755,2.7017,4.3596
ALLSKY_SFC_SW_DWN,2020,26.5,86.5,2.6882,4.134,5.309,5.8786,5.501,4.6339,3.8016,4.8943,3.5597,4.559,3.9168,2.7924,4.3046
ALLSKY_SFC_SW_DWN,2020,26.5,87.5,2.7197,3.8873,5.1295,5.4571,4.8785,4.2072,3.5844,4.6046,3.2345,4.5535,4.0236,3.0749,4.1129
ALLSKY_SFC_SW_DWN,2020,27.5,83.5,2.76,4.3699,5.5658,6.2434,6.1865,4.5336,3.7346,4.9632,3.9482,5.1588,4.2362,3.4723,4.5974
ALLSKY_SFC_SW_DWN,2020,27.5,84.5,2.9066,4.3824,5.6311,6.1781,5.8541,4.5576,3.7762,4.7302,3.9134,5.0496,4.1405,3.4483,4.5466
ALLSKY_SFC_SW_DWN,2020,27.5,85.5,3.2587,4.2326,5.4144,5.7451,5.275,4.6054,3.8107,4.536,3.9072,5.0426,4.2778,3.7025,4.4837
ALLSKY_SFC_SW_DWN,2020,27.5,86.5,3.27,4.1434,4.9104,5.1166,4.65,4.3205,3.5813,4.2691,3.5383,4.7782,4.3037,3.7018,4.2144
ALLSKY_SFC_SW_DWN,2020,27.5,87.5,3.2335,3.8923,4.4983,4.566,4.3582,3.9197,3.5302,4.3188,3.289,4.6555,4.1909,3.6242,4.0073
ALLSKY_SFC_SW_DWN,2021,24.5,83.5,3.4162,4.981,5.8082,6.4908,5.1962,4.4534,4.4294,4.3982,4.4556,4.6812,3.9689,3.2988,4.6262
ALLSKY_SFC_SW_DWN,2021,24.5,84.5,3.3542,4.939,5.8054,6.5062,5.1924,4.5336,4.5334,4.4808,4.5672,4.5264,3.8858,3.2875,4.6291
ALLSKY_SFC_SW_DWN,2021,24.5,85.5,3.1884,4.6771,5.562,6.2134,5.035,4.4028,4.3826,4.32,4.2931,4.2766,3.7277,3.1956,4.4352
ALLSKY_SFC_SW_DWN,2021,24.5,86.5,3.3043,4.6591,5.5462,6.1284,5.1281,4.3169,4.3961,4.2982,4.2696,4.207,3.7073,3.1966,4.4261
ALLSKY_SFC_SW_DWN,2021,24.5,87.5,3.0036,4.4688,5.275,5.8822,5.016,4.2974,4.4436,4.1842,4.1724,4.0711,3.7918,3.198,4.3133
ALLSKY_SFC_SW_DWN,2021,25.5,83.5,2.5198,4.4885,5.5937,6.4622,4.9805,4.2955,4.591,4.1424,4.6793,4.3253,3.7459,2.9724,4.3946
ALLSKY_SFC_SW_DWN,2021,25.5,84.5,2.5231,4.4292,5.575,6.3718,4.823,4.3606,4.4146,4.2329,4.6462,4.1892,3.7656,3.0288,4.3582
ALLSKY_SFC_SW_DWN,2021,25.5,85.5,2.6717,4.3841,5.5512,6.2791,4.8257,4.3094,4.4506,4.3315,4.553,4.1537,3.8669,3.3038,4.3862
ALLSKY_SFC_SW_DWN,2021,25.5,86.5,2.6875,4.331,5.4929,6.234,4.8134,4.4162,4.4503,4.3282,4.5972,4.0846,3.8126,3.2741,4.373
ALLSKY_SFC_SW_DWN,2021,25.5,87.5,2.8061,4.2377,5.3856,6.085,4.6231,4.5072,4.3978,4.1561,4.6726,4.1465,3.8938,3.4428,4.3591
ALLSKY_SFC_SW_DWN,2021,26.5,83.5,2.2447,4.2319,5.5445,6.4591,4.8154,4.386,4.3862,3.7579,4.7222,4.0958,3.5688,2.85,4.2497
ALLSKY_SFC_SW_DWN,2021,26.5,84.5,2.2764,4.2379,5.4924,6.3298,4.7076,4.3483,4.4494,3.6821,4.5466,3.9024,3.6418,2.9491,4.2079
ALLSKY_SFC_SW_DWN,2021,26.5,85.5,2.3978,4.265,5.4624,6.1982,4.5209,4.315,4.5787,3.8575,4.7568,3.959,3.7656,3.1459,4.2631
ALLSKY_SFC_SW_DWN,2021,26.5,86.5,2.6021,4.2749,5.3914,6.1579,4.4057,4.375,4.5182,4.0586,4.7141,3.9972,3.7534,3.1958,4.2821
ALLSKY_SFC_SW_DWN,2021,26.5,87.5,2.807,4.134,5.1984,5.9556,4.1611,4.2617,4.169,3.7826,4.5914,4.0003,3.8364,3.3209,4.1801
ALLSKY_SFC_SW_DWN,2021,27.5,83.5,3.0634,4.555,5.7958,6.6012,5.0182,4.6222,4.3795,3.8179,4.595,4.236,4.1645,3.4416,4.5187
ALLSKY_SFC_SW_DWN,2021,27.5,84.5,3.3026,4.6502,5.7614,6.6641,4.787,4.5552,4.3385,3.8326,4.4866,4.2305,4.0742,3.4476,4.505
ALLSKY_SFC_SW_DWN,2021,27.5,85.5,3.7534,4.6001,5.6112,6.5462,4.4767,4.5218,4.3042,3.8364,4.3786,4.1652,4.1448,3.5683,4.4868
ALLSKY_SFC_SW_DWN,2021,27.5,86.5,3.8952,4.2948,5.1895,6.1087,4.0891,4.2646,3.8866,3.563,4.1486,3.9706,4.1467,3.5143,4.2511
ALLSKY_SFC_SW_DWN,2021,27.5,87.5,3.7483,4.008,4.3721,5.3875,3.821,4.0946,3.8244,3.5945,4.165,3.8136,3.8767,3.3854,4.0034
ALLSKY_SFC_SW_DWN,2022,24.5,83.5,3.3437,4.9416,6.1673,6.8189,6.2892,5.3635,4.8998,4.1947,4.0313,4.705,4.2943,3.6026,4.8845
ALLSKY_SFC_SW_DWN,2022,24.5,84.5,3.2916,4.8422,6.1272,6.7663,6.2388,5.3074,5.2188,4.5214,4.0346,4.7196,4.2506,3.5801,4.9068
ALLSKY_SFC_SW_DWN,2022,24.5,85.5,3.1195,4.6015,5.9143,6.624,6.059,5.3309,5.2457,4.5509,3.977,4.5482,4.1352,3.385,4.7899
ALLSKY_SFC_SW_DWN,2022,24.5,86.5,3.2038,4.5559,5.8829,6.4591,5.8315,5.3551,5.2152,4.5576,3.9511,4.5053,4.0978,3.3768,4.7486
ALLSKY_SFC_SW_DWN,2022,24.5,87.5,3.1034,4.2331,5.6186,5.8354,5.3753,4.974,5.1252,4.427,4.0015,4.571,4.0903,3.1819,4.5454
ALLSKY_SFC_SW_DWN,2022,25.5,83.5,2.5946,4.4011,5.8015,6.5107,6.0866,5.4379,5.1247,4.5298,4.0966,4.6346,3.8177,3.066,4.6742
ALLSKY_SFC_SW_DWN,2022,25.5,84.5,2.6078,4.369,5.7674,6.3494,6.0322,5.3052,5.3954,4.8804,3.8966,4.6366,3.809,3.0749,4.6778
ALLSKY_SFC_SW_DWN,2022,25.5,85.5,2.6114,4.3255,5.7041,6.0566,5.8181,5.1516,5.3875,4.8516,3.919,4.7076,4.0558,3.1375,4.6447
ALLSKY_SFC_SW_DWN,2022,25.5,86.5,2.5932,4.3226,5.6443,5.905,5.689,5.0664,5.4425,4.7753,3.9245,4.7035,4.0399,3.1445,4.6051
ALLSKY_SFC_SW_DWN,2022,25.5,87.5,2.7751,4.1933,5.461,5.3825,5.322,4.524,5.4163,4.6879,4.0135,4.7186,4.3265,3.1978,4.5034
ALLSKY_SFC_SW_DWN,2022,26.5,83.5,2.197,4.2322,5.7432,6.336,5.9628,5.2824,5.1684,4.8041,4.0174,4.319,3.6708,2.9102,4.5533
ALLSKY_SFC_SW_DWN,2022,26.5,84.5,2.2603,4.1938,5.6472,6.1975,5.9081,5.1569,5.1626,5.0011,3.7994,4.3678,3.6605,2.8644,4.519
ALLSKY_SFC_SW_DWN,2022,26.5,85.5,2.3582,4.1796,5.5603,5.9345,5.789,5.1029,5.3746,5.093,3.9946,4.6675,3.9175,2.9143,4.5754
ALLSKY_SFC_SW_DWN,2022,26.5,86.5,2.6153,4.2002,5.532,5.7372,5.339,4.7134,5.3926,4.8216,4.1047,4.6603,3.9389,3.0338,4.5086
ALLSKY_SFC_SW_DWN,2022,26.5,87.5,2.8382,3.9499,5.3069,5.1684,4.9958,4.0313,4.963,4.535,3.8784,4.4983,4.207,3.1142,4.2931
ALLSKY_SFC_SW_DWN,2022,27.5,83.5,2.6962,4.5192,6.084,6.3238,5.9758,5.3849,4.9663,4.9762,4.0104,4.3375,4.1539,3.7764,4.7669
ALLSKY_SFC_SW_DWN,2022,27.5,84.5,2.9107,4.535,6.0259,6.1363,5.9676,5.1958,4.9044,4.9034,3.9914,4.4638,4.0188,3.6096,4.7222
ALLSKY_SFC_SW_DWN,2022,27.5,85.5,3.2021,4.3735,5.8594,5.8373,5.3585,4.6687,4.6757,4.7198,3.8978,4.5504,4.2994,3.8395,4.608
ALLSKY_SFC_SW_DWN,2022,27.5,86.5,3.1219,3.995,5.389,5.2913,4.3411,3.7464,4.4167,4.2384,3.5887,4.4014,4.2266,3.7464,4.2103
ALLSKY_SFC_SW_DWN,2022,27.5,87.5,2.9945,3.4522,5.0714,4.5137,3.8981,3.4874,4.3078,4.1767,3.4474,4.267,4.0764,3.4512,3.9331
ALLSKY_SFC_SW_DWN,2023,24.5,83.5,3.5134,5.4862,5.1127,6.1205,6.5275,5.8152,5.0501,3.6622,4.3529,4.7098,3.7152,3.1831,4.7623
ALLSKY_SFC_SW_DWN,2023,24.5,84.5,3.517,5.4014,5.046,6.0634,6.4939,5.8682,5.0498,3.703,4.2158,4.6908,3.7476,3.1692,4.7393
ALLSKY_SFC_SW_DWN,2023,24.5,85.5,3.2314,5.1648,4.7798,5.9162,6.307,5.7617,4.8698,3.7018,4.0766,4.4707,3.7258,3.1634,4.5898
ALLSKY_SFC_SW_DWN,2023,24.5,86.5,3.27,5.1514,4.8754,5.987,6.2323,5.7175,4.9526,3.7766,4.0546,4.3423,3.7668,3.1774,4.6013
ALLSKY_SFC_SW_DWN,2023,24.5,87.5,3.0881,4.7093,4.7117,5.8423,5.8618,5.1636,5.0225,3.8347,4.0944,4.1952,3.8088,3.1411,4.451
ALLSKY_SFC_SW_DWN,2023,25.5,83.5,2.6599,4.9128,5.0676,6.1865,6.5657,6.151,5.065,3.9365,4.463,4.6675,3.4258,2.7281,4.6459
ALLSKY_SFC_SW_DWN,2023,25.5,84.5,2.6527,4.8274,5.0604,6.1634,6.485,5.9892,5.0314,3.9506,4.3087,4.6548,3.4334,2.736,4.602
ALLSKY_SFC_SW_DWN,2023,25.5,85.5,2.7912,4.6526,4.9793,6.1118,6.4476,5.923,5.0052,3.9689,4.3138,4.6162,3.7464,2.9299,4.6193
ALLSKY_SFC_SW_DWN,2023,25.5,86.5,2.8318,4.6243,4.9454,6.1039,6.2618,5.9366,4.9075,3.8933,4.1318,4.4854,3.7855,2.947,4.5662
ALLSKY_SFC_SW_DWN,2023,25.5,87.5,2.9563,4.3963,4.9524,6.0878,6.0468,5.6731,4.8509,3.8971,4.1954,4.3795,4.1585,3.191,4.5617
ALLSKY_SFC_SW_DWN,2023,26.5,83.5,2.292,4.5374,5.0153,6.1714,6.3725,6.1675,4.7782,3.9679,4.3018,4.5684,3.3146,2.7221,4.512
ALLSKY_SFC_SW_DWN,2023,26.5,84.5,2.3208,4.3999,5.005,6.0838,6.283,6.0377,4.6625,3.851,4.2684,4.4916,3.3317,2.7098,4.4489
ALLSKY_SFC_SW_DWN,2023,26.5,85.5,2.4828,4.308,4.9862,6.0893,6.3348,6.0972,4.6879,3.8222,4.3834,4.4818,3.6818,2.8951,4.5168
