-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Chhattisgarh,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,18.5,80.5,4.3339,5.1168,5.8502,6.4543,6.4949,5.0851,4.428,3.3636,4.4897,4.5468,4.555,4.6824,4.9471
ALLSKY_SFC_SW_DWN,2020,18.5,81.5,4.5336,5.1984,5.959,6.4795,6.4771,4.7863,4.2917,3.085,4.5036,4.4484,4.4659,4.7002,4.9075
ALLSKY_SFC_SW_DWN,2020,18.5,82.5,4.6735,5.2099,5.9054,6.4193,6.4387,4.5106,4.4023,3.0118,4.4602,4.2238,4.3481,4.5562,4.8437
ALLSKY_SFC_SW_DWN,2020,18.5,83.5,4.3303,4.8653,5.676,6.1152,6.2227,4.7926,4.9037,3.786,4.734,4.0817,4.3044,4.3178,4.8425
ALLSKY_SFC_SW_DWN,2020,19.5,80.5,4.2962,4.9934,5.7888,6.553,6.654,4.8005,4.2845,3.0998,4.3584,4.578,4.6826,4.6222,4.8898
ALLSKY_SFC_SW_DWN,2020,19.5,81.5,4.3963,4.9757,5.7113,6.3799,6.6019,4.7306,4.29,3.1606,4.3735,4.5103,4.6435,4.675,4.8684
ALLSKY_SFC_SW_DWN,2020,19.5,82.5,4.4762,4.9159,5.6846,6.263,6.3941,4.5857,4.5631,3.3936,4.5734,4.4076,4.499,4.5583,4.8578
ALLSKY_SFC_SW_DWN,2020,19.5,83.5,4.2893,4.6454,5.4454,5.9947,6.2441,4.4071,4.6104,3.282,4.4954,4.2643,4.278,4.2396,4.6819
ALLSKY_SFC_SW_DWN,2020,20.5,80.5,4.1806,4.8122,5.519,6.6698,6.888,4.7657,4.536,3.0456,4.4213,4.5022,4.6498,4.4162,4.8646
ALLSKY_SFC_SW_DWN,2020,20.5,81.5,4.1765,4.6366,5.5769,6.6185,6.7874,4.7102,4.7033,3.2669,4.6049,4.507,4.6421,4.464,4.8898
