-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Gujarat,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,20.5,68.5,4.7952,5.784,6.5268,7.2792,7.5487,5.6882,4.7059,4.0694,5.4506,5.4046,4.9481,4.524,5.556
ALLSKY_SFC_SW_DWN,2020,20.5,69.5,4.831,5.8205,6.5738,7.2766,7.5437,5.8531,4.8722,3.9434,5.2913,5.3825,4.9498,4.5197,5.567
ALLSKY_SFC_SW_DWN,2020,20.5,70.5,4.7626,5.5874,6.5484,7.1978,7.482,5.916,4.7758,3.5681,5.0405,5.1847,4.7434,4.3332,5.4242
ALLSKY_SFC_SW_DWN,2020,20.5,71.5,4.6104,5.4161,6.4747,7.0339,7.3039,5.737,4.8319,3.4133,4.8562,5.167,4.5655,4.0678,5.2862
ALLSKY_SFC_SW_DWN,2020,20.5,72.5,4.5017,5.3294,6.4032,7.0301,7.2763,5.4432,4.8346,3.1958,4.729,5.0947,4.5341,3.9814,5.1929
ALLSKY_SFC_SW_DWN,2020,20.5,73.5,4.5571,5.4701,6.3898,7.2086,7.4801,4.9788,4.5739,2.9124,4.2662,4.8377,4.704,4.1244,5.1216
ALLSKY_SFC_SW_DWN,2020,20.5,74.5,4.391,5.2889,6.2537,7.1172,7.3178,5.1737,4.8166,3.5544,4.4443,4.7184,4.6891,4.0181,5.1456
ALLSKY_SFC_SW_DWN,2020,21.5,68.5,4.7474,5.6534,6.3566,7.2547,7.5329,6.0142,4.8437,3.9766,5.5771,5.5668,4.9188,4.5698,5.58
ALLSKY_SFC_SW_DWN,2020,21.5,69.5,4.7894,5.741,6.517,7.4278,7.6908,6.0048,5.0167,3.8786,5.5565,5.5517,4.8444,4.5946,5.6304
ALLSKY_SFC_SW_DWN,2020,21.5,70.5,4.6411,5.5044,6.4152,7.2307,7.5742,5.4874,4.577,3.4058,4.9486,5.321,4.6927,4.3397,5.3412
ALLSKY_SFC_SW_DWN,2020,21.5,71.5,4.5766,5.4766,6.3845,7.14,7.5139,5.281,4.7614,3.5628,4.895,5.2944,4.6531,4.1947,5.3083
ALLSKY_SFC_SW_DWN,2020,21.5,72.5,4.4777,5.3892,6.3029,7.2082,7.5324,5.5063,5.3064,3.6938,4.7422,5.1946,4.5578,4.0817,5.3306
