-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST,,,,,,,,,,,,,,,,
Location: Regional - Haryana,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,28.5,74.5,3.2798,4.651,5.219,6.6869,7.1539,6.8225,6.2472,5.5723,5.575,5.0894,3.7553,3.5333,5.2978
ALLSKY_SFC_SW_DWN,2020,28.5,75.5,3.2042,4.5818,5.2279,6.6391,7.0174,6.6461,6.0576,5.2771,5.5781,5.088,3.7274,3.5206,5.2126
ALLSKY_SFC_SW_DWN,2020,28.5,76.5,2.8642,4.2662,5.1622,6.4099,6.6295,6.0367,5.2814,4.6687,5.2418,4.7131,3.3859,3.1699,4.8173
ALLSKY_SFC_SW_DWN,2020,28.5,77.5,2.8685,4.2701,5.1643,6.4015,6.6862,6.0876,5.1242,4.4486,5.3078,4.7002,3.4212,3.1778,4.8024
ALLSKY_SFC_SW_DWN,2020,29.5,74.5,2.7106,4.3649,4.9282,6.3137,6.7807,6.401,6.0168,5.5601,5.3693,4.8264,3.3586,2.9851,4.967
ALLSKY_SFC_SW_DWN,2020,29.5,75.5,2.6806,4.3301,4.9397,6.2882,6.6725,6.1409,5.6923,5.3208,5.412,4.8454,3.3185,2.9808,4.8838
ALLSKY_SFC_SW_DWN,2020,29.5,76.5,2.6333,4.2415,5.0429,6.2297,6.6934,6.1394,5.2874,5.0424,5.4914,4.9678,3.5678,3.1018,4.8679
ALLSKY_SFC_SW_DWN,2020,29.5,77.5,2.6136,4.1203,5.0966,6.2911,6.6065,6.2395,5.1698,4.5886,5.2882,4.9944,3.637,3.0442,4.805
ALLSKY_SFC_SW_DWN,2020,30.5,74.5,2.6765,4.3572,4.8209,6.3149,6.8426,6.4714,6.0466,5.5843,5.4778,5.0659,3.5366,2.9606,5.0117
ALLSKY_SFC_SW_DWN,2020,30.5,75.5,2.7679,4.3022,4.8487,6.2614,6.7217,6.4327,5.772,5.4175,5.6186,5.0678,3.5141,2.9909,4.9747
ALLSKY_SFC_SW_DWN,2020,30.5,76.5,2.8829,4.5046,4.9802,6.3706,6.9072,6.7711,5.8116,5.1372,5.8589,5.515,3.9002,3.3684,5.1648
ALLSKY_SFC_SW_DWN,2020,30.5,77.5,2.8867,4.5072,4.9625,6.2578,6.7757,6.4786,5.2594,4.4306,5.5594,5.5745,3.9382,3.5981,5.016
ALLSKY_SFC_SW_DWN,2021,28.5,74.5,3.3708,4.998,5.9374,6.9763,6.3202,6.66,5.4641,5.9033,4.5936,5.0249,3.8184,3.2134,5.1881
ALLSKY_SFC_SW_DWN,2021,28.5,75.5,3.2395,4.9577,5.8015,6.9336,6.2674,6.552,5.1341,5.6849,4.4794,4.943,3.7963,3.1752,5.0774
ALLSKY_SFC_SW_DWN,2021,28.5,76.5,2.7317,4.5257,5.478,6.7075,6.061,6.061,4.6994,4.9651,4.1842,4.6452,3.4522,2.8733,4.6956
ALLSKY_SFC_SW_DWN,2021,28.5,77.5,2.6364,4.5204,5.5558,6.7738,6.0211,6.2038,4.6858,4.6834,4.2082,4.6714,3.432,2.8668,4.6846
ALLSKY_SFC_SW_DWN,2021,29.5,74.5,2.6666,4.3982,5.4902,6.5347,6.0689,5.9234,5.3134,5.8234,4.6831,4.6546,3.5662,2.9506,4.8394
ALLSKY_SFC_SW_DWN,2021,29.5,75.5,2.6052,4.2732,5.4334,6.57,5.9882,5.9777,4.861,5.6347,4.5372,4.6085,3.5098,2.9064,4.7414
ALLSKY_SFC_SW_DWN,2021,29.5,76.5,2.7485,4.3063,5.4689,6.5734,6.0982,6.1138,4.7438,5.2368,4.4825,4.6416,3.8297,3.0538,4.7734
ALLSKY_SFC_SW_DWN,2021,29.5,77.5,2.653,4.3032,5.4566,6.5813,6.0521,6.2441,4.6241,4.8583,4.3896,4.583,3.8479,3.0413,4.717
ALLSKY_SFC_SW_DWN,2021,30.5,74.5,2.7626,4.3176,5.4252,6.4183,6.2957,6.3178,5.4478,5.8882,4.7873,4.795,3.8854,3.1531,4.9589
ALLSKY_SFC_SW_DWN,2021,30.5,75.5,2.7065,4.2122,5.4031,6.325,6.1382,6.3931,5.1511,5.6309,4.6514,4.7518,3.8767,3.0845,4.8607
ALLSKY_SFC_SW_DWN,2021,30.5,76.5,3.0329,4.5797,5.6203,6.5129,6.4382,6.7399,5.2157,5.4876,4.692,4.9082,4.3505,3.3998,5.0803
ALLSKY_SFC_SW_DWN,2021,30.5,77.5,3.4452,4.6697,5.6858,6.4692,6.2393,6.4841,4.6178,4.7371,4.308,4.8979,4.4088,3.3559,4.9404
ALLSKY_SFC_SW_DWN,2022,28.5,74.5,3.2498,4.8461,6.1963,7.1033,7.0327,6.6391,5.1322,5.2702,5.5087,5.0191,3.9646,3.6125,5.2961
ALLSKY_SFC_SW_DWN,2022,28.5,75.5,2.989,4.7767,6.1493,7.0166,6.8287,6.3926,5.0062,5.1048,5.2538,4.9135,3.9838,3.6226,5.1677
ALLSKY_SFC_SW_DWN,2022,28.5,76.5,2.4442,4.4203,5.8296,6.7632,6.3602,5.921,4.7506,4.813,4.7246,4.4306,3.7231,3.2813,4.7861
