-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,13.5,77.5,5.3933,6.2162,6.6845,6.6922,6.4066,5.3522,5.0186,4.6385,4.6778,4.7316,4.4628,4.4626,5.3914
ALLSKY_SFC_SW_DWN,2020,13.5,78.5,5.1154,6.0797,6.5189,6.5998,6.4214,5.291,5.065,4.6879,4.6714,4.7261,4.1935,4.1258,5.2882
ALLSKY_SFC_SW_DWN,2020,13.5,79.5,4.9253,5.7806,6.5794,6.4992,6.4054,5.2181,5.0213,4.5406,4.5072,4.4126,3.87,3.8076,5.1283
ALLSKY_SFC_SW_DWN,2020,13.5,80.5,5.0292,5.7845,6.5278,6.3089,6.1685,5.3184,4.7693,4.032,4.2713,4.1674,4.0615,3.9288,5.027
ALLSKY_SFC_SW_DWN,2020,13.5,81.5,5.4113,6.1327,6.791,6.7375,6.3804,5.5087,4.9277,4.0447,4.0418,4.3003,4.529,4.1554,5.2423
ALLSKY_SFC_SW_DWN,2020,13.5,82.5,5.527,6.1046,6.828,6.8839,6.2899,5.3213,4.8058,3.936,3.7272,4.3507,4.4398,4.0594,5.1854
ALLSKY_SFC_SW_DWN,2020,13.5,83.5,5.5272,6.1022,6.869,7.038,6.1934,5.0782,4.747,3.9326,3.8062,4.2679,4.5156,4.0327,5.1715
ALLSKY_SFC_SW_DWN,2020,13.5,84.5,5.4595,6.1068,6.8705,7.0337,6.1903,4.973,4.7818,3.997,4.063,4.2876,4.5934,4.039,5.195
ALLSKY_SFC_SW_DWN,2020,14.5,77.5,5.2526,6.1198,6.7507,6.8935,6.4999,5.5512,5.0789,4.7045,4.7551,4.7136,4.3555,4.5362,5.431
ALLSKY_SFC_SW_DWN,2020,14.5,78.5,5.0558,6.0178,6.5837,6.8429,6.6202,5.3506,5.059,4.5751,4.6574,4.5684,4.1093,4.1962,5.2999
