-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,24.5,90.5,3.0245,4.1431,5.1859,5.1521,4.6853,4.4731,3.7291,4.5408,3.661,4.0087,4.1506,3.0259,4.146
ALLSKY_SFC_SW_DWN,2020,24.5,91.5,3.3617,4.5362,5.544,5.3575,4.8569,4.2938,4.0109,4.7722,3.8062,4.2408,4.4014,3.8426,4.4174
ALLSKY_SFC_SW_DWN,2020,24.5,92.5,3.3864,4.5211,5.5471,5.2846,4.7273,4.4088,4.2646,4.7606,4.2194,4.2996,4.3306,3.9038,4.47
ALLSKY_SFC_SW_DWN,2020,24.5,93.5,3.804,4.5024,5.6254,5.0534,4.8785,4.4868,4.0937,4.53,4.4702,4.3589,4.3934,4.2485,4.5365
ALLSKY_SFC_SW_DWN,2020,24.5,94.5,3.8767,4.5046,5.6794,5.0549,5.0849,4.7263,4.1964,4.23,4.4006,3.8659,4.3404,4.1095,4.5046
ALLSKY_SFC_SW_DWN,2020,24.5,95.5,3.9677,4.5646,5.6518,5.1547,5.5246,4.6378,4.145,4.1273,4.2552,3.8035,4.255,4.0661,4.5118
ALLSKY_SFC_SW_DWN,2020,25.5,90.5,3.3055,4.0385,5.1852,5.449,4.6296,4.2571,3.2206,4.6145,3.2294,4.2686,4.261,3.4817,4.1609
ALLSKY_SFC_SW_DWN,2020,25.5,91.5,3.4838,4.0625,5.1547,5.1991,4.499,4.0846,3.1008,4.3538,3.2861,3.9497,4.3282,3.8282,4.11
ALLSKY_SFC_SW_DWN,2020,25.5,92.5,3.3324,4.0133,5.1106,4.8638,4.2775,4.0958,3.5208,4.693,3.5978,3.841,4.2679,3.835,4.1203
ALLSKY_SFC_SW_DWN,2020,25.5,93.5,3.509,4.2946,5.3335,4.7614,4.4878,4.3282,3.9348,4.7616,4.1858,4.0073,4.2744,4.1093,4.332
