-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,15.5,74.5,5.1674,5.8778,6.5534,6.6842,6.1553,4.2485,3.7291,3.253,4.1988,4.1561,4.9049,4.8694,4.9781
ALLSKY_SFC_SW_DWN,2020,15.5,75.5,5.0878,5.8519,6.4918,6.7133,6.3742,5.1259,4.4011,4.0342,4.4515,4.5154,4.6428,4.8005,5.2037
ALLSKY_SFC_SW_DWN,2020,16.5,74.5,4.9534,5.7574,6.4786,6.7078,6.581,4.7542,4.1369,3.5062,4.4527,4.247,4.7726,4.8139,5.0923
ALLSKY_SFC_SW_DWN,2020,16.5,75.5,4.8936,5.7528,6.4786,6.6588,6.6312,5.3412,4.4842,4.1146,4.4292,4.4215,4.675,4.8962,5.2282
ALLSKY_SFC_SW_DWN,2020,17.5,74.5,4.7503,5.5325,6.3967,6.6967,6.823,4.9654,4.3248,3.7046,4.417,4.3363,4.729,4.6025,5.1031
ALLSKY_SFC_SW_DWN,2020,17.5,75.5,4.723,5.4818,6.3658,6.7745,6.8474,5.2771,4.6462,4.2559,4.5996,4.4323,4.7242,4.6922,5.2325
ALLSKY_SFC_SW_DWN,2021,15.5,74.5,4.7645,5.7084,6.3646,6.4433,5.4077,4.284,3.4586,4.1897,3.9614,4.8756,3.8623,4.5478,4.817
ALLSKY_SFC_SW_DWN,2021,15.5,75.5,4.8257,5.7274,6.4572,6.3665,5.7134,5.0107,4.2578,4.6188,4.4016,4.8415,3.7135,4.4306,5.0263
ALLSKY_SFC_SW_DWN,2021,16.5,74.5,4.6764,5.6962,6.4013,6.4747,5.6664,4.5408,3.8839,4.2953,4.1155,5.172,3.9197,4.32,4.9258
ALLSKY_SFC_SW_DWN,2021,16.5,75.5,4.7719,5.6914,6.5143,6.397,5.9273,5.1823,4.2406,4.6181,4.3853,5.1914,3.8047,4.3166,5.0834
ALLSKY_SFC_SW_DWN,2021,17.5,74.5,4.3853,5.5908,6.3086,6.3823,5.6498,4.8718,4.0618,4.2662,4.2202,5.2231,3.912,3.9804,4.8994
ALLSKY_SFC_SW_DWN,2021,17.5,75.5,4.483,5.5694,6.3598,6.33,5.993,5.1667,4.2528,4.4702,4.5528,5.1749,4.0037,4.0394,5.0287
ALLSKY_SFC_SW_DWN,2022,15.5,74.5,5.1809,6.0043,5.8246,5.9767,5.3748,4.5166,3.3456,3.6557,4.4674,4.7117,4.6757,4.5998,4.8511
ALLSKY_SFC_SW_DWN,2022,15.5,75.5,5.1708,5.9796,5.9808,5.9282,5.531,5.1502,4.0284,4.1333,4.7594,4.7275,4.5965,4.5101,5.0328
ALLSKY_SFC_SW_DWN,2022,16.5,74.5,5.0088,5.9057,5.8356,6.1296,5.7377,5.0477,3.569,3.9396,4.4993,4.5775,4.733,4.5106,4.9486
