-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,30.5,76.5,2.8829,4.5046,4.9802,6.3706,6.9072,6.7711,5.8116,5.1372,5.8589,5.515,3.9002,3.3684,5.1648
ALLSKY_SFC_SW_DWN,2020,30.5,77.5,2.8867,4.5072,4.9625,6.2578,6.7757,6.4786,5.2594,4.4306,5.5594,5.5745,3.9382,3.5981,5.016
ALLSKY_SFC_SW_DWN,2020,30.5,78.5,2.7698,4.4122,4.8672,5.9026,6.6125,6.5474,5.2298,4.4422,5.4902,5.8082,4.0488,3.7128,4.9846
ALLSKY_SFC_SW_DWN,2020,31.5,76.5,2.9093,4.3344,4.6898,6.2892,6.7956,6.6329,5.7257,4.5509,5.6767,5.531,3.6703,3.3938,5.0143
ALLSKY_SFC_SW_DWN,2020,31.5,77.5,2.6107,3.9737,4.2653,5.646,6.2664,6.3917,5.3347,4.7863,5.8126,5.6246,3.4358,3.2894,4.7851
ALLSKY_SFC_SW_DWN,2020,31.5,78.5,2.5805,4.5096,5.2049,6.4267,6.1944,7.1731,6.2822,5.9215,6.3578,5.8774,3.2736,3.2906,5.2558
ALLSKY_SFC_SW_DWN,2020,32.5,76.5,2.2774,3.8006,4.0546,5.4329,6.071,6.335,5.7943,4.8682,5.821,5.635,3.131,2.7922,4.6668
ALLSKY_SFC_SW_DWN,2020,32.5,77.5,2.579,4.5852,5.2613,6.8354,6.3293,7.4537,6.9631,6.2093,6.5436,5.8166,3.3823,3.2714,5.4338
ALLSKY_SFC_SW_DWN,2020,32.5,78.5,2.2123,4.0087,4.607,5.9777,6.8386,8.0186,7.1354,6.8822,6.9031,5.8999,3.4975,3.2851,5.4394
ALLSKY_SFC_SW_DWN,2021,30.5,76.5,3.0329,4.5797,5.6203,6.5129,6.4382,6.7399,5.2157,5.4876,4.692,4.9082,4.3505,3.3998,5.0803
ALLSKY_SFC_SW_DWN,2021,30.5,77.5,3.4452,4.6697,5.6858,6.4692,6.2393,6.4841,4.6178,4.7371,4.308,4.8979,4.4088,3.3559,4.9404
ALLSKY_SFC_SW_DWN,2021,30.5,78.5,3.8386,4.7806,5.8238,6.3173,6.0674,6.3144,4.7302,4.7729,4.3178,4.8701,4.5106,3.3362,4.9706
ALLSKY_SFC_SW_DWN,2021,31.5,76.5,3.3014,4.5658,5.4931,6.2657,6.4351,6.6098,4.945,5.2358,4.4131,4.8156,4.2929,3.318,4.973
