-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,22.5,83.5,3.9425,4.5996,5.1362,6.2974,6.7049,4.1402,4.1258,3.6482,4.4306,4.6618,4.3332,3.8904,4.6579
ALLSKY_SFC_SW_DWN,2020,22.5,84.5,3.971,4.6164,5.2392,6.2326,6.5369,4.4417,4.2936,3.8628,4.4554,4.6884,4.2857,3.9142,4.7105
ALLSKY_SFC_SW_DWN,2020,22.5,85.5,3.7006,4.3416,5.1655,5.8486,6.0526,4.5622,4.4554,3.984,4.4371,4.5468,4.147,3.666,4.5749
ALLSKY_SFC_SW_DWN,2020,22.5,86.5,3.7308,4.3798,5.3458,5.7504,5.9664,4.7422,4.7203,4.1354,4.4621,4.3942,4.157,3.684,4.6219
ALLSKY_SFC_SW_DWN,2020,22.5,87.5,3.5122,4.1765,5.365,5.5596,5.6249,4.7659,4.6548,4.1628,4.4237,4.411,4.1398,3.3454,4.5113
ALLSKY_SFC_SW_DWN,2020,23.5,83.5,3.629,4.6771,5.2068,6.3173,6.5818,4.2389,3.9653,4.0241,4.53,4.553,4.1112,3.377,4.5984
ALLSKY_SFC_SW_DWN,2020,23.5,84.5,3.6461,4.7474,5.2003,6.2318,6.2947,4.3922,3.9434,4.171,4.5185,4.5034,4.0697,3.3715,4.5876
ALLSKY_SFC_SW_DWN,2020,23.5,85.5,3.4632,4.4364,5.0354,5.9162,5.8183,4.4038,4.0889,4.1544,4.3366,4.4378,3.9691,3.2172,4.4374
ALLSKY_SFC_SW_DWN,2020,23.5,86.5,3.4882,4.415,5.2188,5.8798,5.6143,4.5775,4.2103,4.1993,4.3282,4.5199,3.9977,3.2119,4.4695
ALLSKY_SFC_SW_DWN,2020,23.5,87.5,3.2215,4.1011,5.1144,5.5682,5.2814,4.6918,4.4045,4.2504,4.3322,4.4729,4.0375,3.0086,4.3721
ALLSKY_SFC_SW_DWN,2020,24.5,83.5,3.4898,4.6238,5.37,6.3761,6.6223,4.5173,4.1722,4.4863,4.4054,4.6934,4.0543,3.2794,4.6728
ALLSKY_SFC_SW_DWN,2020,24.5,84.5,3.4481,4.6058,5.3614,6.2182,6.4327,4.6318,4.1789,4.627,4.469,4.627,3.9799,3.2551,4.6512
ALLSKY_SFC_SW_DWN,2020,24.5,85.5,3.2201,4.3241,5.245,5.9208,6.1296,4.5907,4.1117,4.5667,4.3078,4.597,3.9324,3.0804,4.5012
ALLSKY_SFC_SW_DWN,2020,24.5,86.5,3.2762,4.3435,5.297,5.8418,5.7113,4.7242,3.9797,4.5026,3.9698,4.573,3.9588,3.1013,4.4386
ALLSKY_SFC_SW_DWN,2020,24.5,87.5,3.133,4.0728,5.0059,5.3863,5.1823,4.6598,3.8002,4.4383,3.9874,4.5367,3.9823,2.8714,4.253
ALLSKY_SFC_SW_DWN,2021,22.5,83.5,3.9979,5.0839,5.658,6.2434,5.7406,4.4786,3.8088,4.0807,4.0267,4.7861,3.9101,3.6156,4.615
ALLSKY_SFC_SW_DWN,2021,22.5,84.5,4.0066,5.0822,5.6762,6.2441,5.7991,4.469,3.9072,4.1923,4.1299,4.6872,3.8426,3.5165,4.6253
ALLSKY_SFC_SW_DWN,2021,22.5,85.5,3.5378,4.7621,5.3328,5.8884,5.6359,4.3366,3.9725,4.231,3.9432,4.3176,3.649,3.2122,4.398
ALLSKY_SFC_SW_DWN,2021,22.5,86.5,3.5064,4.8055,5.3947,5.8018,5.5404,4.3399,4.3236,4.3985,3.8794,4.2722,3.7519,3.1488,4.427
ALLSKY_SFC_SW_DWN,2021,22.5,87.5,3.3718,4.6025,5.2366,5.7595,5.6182,4.356,4.3464,4.1964,3.7243,4.3222,3.877,3.1997,4.3819
ALLSKY_SFC_SW_DWN,2021,23.5,83.5,3.7238,5.0148,5.8493,6.4123,5.3914,4.3949,4.0754,4.1822,4.2797,4.7028,3.8335,3.4346,4.6032
ALLSKY_SFC_SW_DWN,2021,23.5,84.5,3.7752,5.0158,5.815,6.3403,5.1871,4.3514,4.1885,4.2576,4.1189,4.6032,3.7296,3.361,4.5574
ALLSKY_SFC_SW_DWN,2021,23.5,85.5,3.4706,4.7412,5.6359,6.0833,4.9774,4.295,4.1126,4.2182,3.9809,4.3642,3.6266,3.1978,4.3879
ALLSKY_SFC_SW_DWN,2021,23.5,86.5,3.4322,4.739,5.6006,5.97,5.1266,4.3483,4.3202,4.3632,4.1474,4.2564,3.6442,3.1721,4.423
ALLSKY_SFC_SW_DWN,2021,23.5,87.5,3.1318,4.4573,5.322,5.8366,5.1427,4.3721,4.4198,4.4006,4.1609,4.195,3.731,3.1351,4.356
ALLSKY_SFC_SW_DWN,2021,24.5,83.5,3.4162,4.981,5.8082,6.4908,5.1962,4.4534,4.4294,4.3982,4.4556,4.6812,3.9689,3.2988,4.6262
ALLSKY_SFC_SW_DWN,2021,24.5,84.5,3.3542,4.939,5.8054,6.5062,5.1924,4.5336,4.5334,4.4808,4.5672,4.5264,3.8858,3.2875,4.6291
ALLSKY_SFC_SW_DWN,2021,24.5,85.5,3.1884,4.6771,5.562,6.2134,5.035,4.4028,4.3826,4.32,4.2931,4.2766,3.7277,3.1956,4.4352
ALLSKY_SFC_SW_DWN,2021,24.5,86.5,3.3043,4.6591,5.5462,6.1284,5.1281,4.3169,4.3961,4.2982,4.2696,4.207,3.7073,3.1966,4.4261
ALLSKY_SFC_SW_DWN,2021,24.5,87.5,3.0036,4.4688,5.275,5.8822,5.016,4.2974,4.4436,4.1842,4.1724,4.0711,3.7918,3.198,4.3133
ALLSKY_SFC_SW_DWN,2022,22.5,83.5,3.8508,5.1689,6.0679,6.5273,6.4651,5.2046,4.3277,3.8417,3.9641,4.5739,4.5636,4.0632,4.8806
ALLSKY_SFC_SW_DWN,2022,22.5,84.5,3.7685,5.0906,5.9815,6.4622,6.449,5.2464,4.4131,3.9888,4.1686,4.662,4.5103,4.0666,4.897
ALLSKY_SFC_SW_DWN,2022,22.5,85.5,3.3672,4.7858,5.6798,6.215,6.1968,5.1072,4.2403,3.9581,4.213,4.5209,4.2574,3.7447,4.687
ALLSKY_SFC_SW_DWN,2022,22.5,86.5,3.4308,4.739,5.7499,6.1471,6.1356,5.2608,4.4981,4.1957,4.2845,4.4858,4.2898,3.7334,4.7431
ALLSKY_SFC_SW_DWN,2022,22.5,87.5,3.4649,4.4129,5.6664,6.0156,5.8238,4.8698,4.5314,4.2125,4.4398,4.674,4.297,3.5201,4.6601
ALLSKY_SFC_SW_DWN,2022,23.5,83.5,3.5616,4.9709,6.2083,6.719,6.1512,5.1094,4.6877,3.9533,3.8664,4.5823,4.405,3.6907,4.8221
ALLSKY_SFC_SW_DWN,2022,23.5,84.5,3.5292,4.9332,6.1841,6.6876,6.0602,5.0141,4.5466,4.0018,3.8755,4.5547,4.3613,3.7051,4.7844
ALLSKY_SFC_SW_DWN,2022,23.5,85.5,3.265,4.6714,5.9261,6.4771,5.8037,5.0028,4.5019,4.1856,3.9216,4.4474,4.2036,3.4968,4.6558
ALLSKY_SFC_SW_DWN,2022,23.5,86.5,3.2954,4.6298,5.9186,6.3442,5.7552,5.2147,4.8288,4.3759,4.1098,4.4894,4.1206,3.4795,4.7117
ALLSKY_SFC_SW_DWN,2022,23.5,87.5,3.2158,4.3517,5.6376,5.9376,5.435,5.0549,5.0078,4.4568,4.194,4.6457,4.1482,3.2657,4.6123
ALLSKY_SFC_SW_DWN,2022,24.5,83.5,3.3437,4.9416,6.1673,6.8189,6.2892,5.3635,4.8998,4.1947,4.0313,4.705,4.2943,3.6026,4.8845
ALLSKY_SFC_SW_DWN,2022,24.5,84.5,3.2916,4.8422,6.1272,6.7663,6.2388,5.3074,5.2188,4.5214,4.0346,4.7196,4.2506,3.5801,4.9068
ALLSKY_SFC_SW_DWN,2022,24.5,85.5,3.1195,4.6015,5.9143,6.624,6.059,5.3309,5.2457,4.5509,3.977,4.5482,4.1352,3.385,4.7899
ALLSKY_SFC_SW_DWN,2022,24.5,86.5,3.2038,4.5559,5.8829,6.4591,5.8315,5.3551,5.2152,4.5576,3.9511,4.5053,4.0978,3.3768,4.7486
ALLSKY_SFC_SW_DWN,2022,24.5,87.5,3.1034,4.2331,5.6186,5.8354,5.3753,4.974,5.1252,4.427,4.0015,4.571,4.0903,3.1819,4.5454
ALLSKY_SFC_SW_DWN,2023,22.5,83.5,4.0118,5.6722,5.0803,5.809,6.4229,5.3441,4.356,3.6667,3.7831,4.9214,4.1251,3.5443,4.7198
ALLSKY_SFC_SW_DWN,2023,22.5,84.5,4.0546,5.6489,5.0069,5.8502,6.2568,5.2399,4.3798,3.6391,3.8064,4.7832,4.1405,3.5071,4.6841
ALLSKY_SFC_SW_DWN,2023,22.5,85.5,3.5731,5.2524,4.7407,5.5942,6.0533,5.1778,4.3896,3.5002,3.8184,4.4767,3.9355,3.3706,4.4825
ALLSKY_SFC_SW_DWN,2023,22.5,86.5,3.595,5.209,4.7815,5.7041,6.1339,5.2092,4.4405,3.9504,3.9103,4.4148,3.8722,3.3773,4.543
ALLSKY_SFC_SW_DWN,2023,22.5,87.5,3.2918,4.735,4.7206,5.6621,6.0062,4.877,4.7038,3.8698,3.8484,4.2701,3.8777,3.3067,4.4268
ALLSKY_SFC_SW_DWN,2023,23.5,83.5,3.672,5.5591,5.0933,5.8198,6.4838,5.4994,4.6932,3.5856,4.0673,4.6867,3.8731,3.3389,4.6894
ALLSKY_SFC_SW_DWN,2023,23.5,84.5,3.6881,5.5459,5.0033,5.7619,6.2534,5.369,4.513,3.5503,3.7853,4.6591,3.8974,3.3554,4.6066
ALLSKY_SFC_SW_DWN,2023,23.5,85.5,3.4848,5.3021,4.8403,5.7178,6.108,5.3198,4.578,3.4363,3.7152,4.4057,3.799,3.283,4.4911
ALLSKY_SFC_SW_DWN,2023,23.5,86.5,3.4238,5.245,4.9354,5.9309,6.0914,5.4206,4.8077,3.7034,3.8326,4.2948,3.7562,3.2467,4.5497
