-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,10.5,75.5,5.6839,6.0562,6.4078,6.2388,5.2282,3.9034,4.2082,4.7503,4.6066,5.2546,5.0914,4.8101,5.1842
ALLSKY_SFC_SW_DWN,2020,10.5,76.5,5.693,6.0761,6.263,6.1241,5.4336,4.5077,4.363,4.5756,4.0524,4.9771,4.8322,4.435,5.1084
ALLSKY_SFC_SW_DWN,2020,11.5,75.5,5.7233,6.2026,6.672,6.384,5.5687,3.9727,4.044,4.399,4.3819,5.2579,5.1583,5.0011,5.2279
ALLSKY_SFC_SW_DWN,2020,11.5,76.5,5.5973,6.1735,6.2323,6.2494,5.5769,4.6145,4.2516,4.4081,4.1354,4.7834,4.5331,4.3932,5.0753
ALLSKY_SFC_SW_DWN,2020,12.5,75.5,5.5726,6.0888,6.5734,6.4375,5.7326,4.0949,3.7428,3.6905,3.907,4.5283,4.9668,4.9409,5.0191
ALLSKY_SFC_SW_DWN,2020,12.5,76.5,5.5577,6.1296,6.4351,6.5122,6.1346,5.0599,4.6032,4.4131,4.4102,4.7642,4.5787,4.4573,5.2512
ALLSKY_SFC_SW_DWN,2020,8.5,75.5,5.8231,6.1466,6.4327,6.1646,4.9145,4.3128,4.4018,5.3311,4.7196,5.5147,4.9673,4.6219,5.2771
ALLSKY_SFC_SW_DWN,2020,8.5,76.5,5.9743,6.2184,6.5765,6.5215,5.0688,4.7758,4.8977,5.3189,4.7066,5.3808,4.9589,4.513,5.4067
ALLSKY_SFC_SW_DWN,2020,9.5,75.5,5.7581,6.0403,6.4066,6.2002,5.095,4.0673,4.4263,5.0078,4.5437,5.3645,5.0952,4.715,5.225
ALLSKY_SFC_SW_DWN,2020,9.5,76.5,5.9834,6.3067,6.6122,6.4884,5.1403,4.5559,4.6322,4.7904,4.2785,5.2757,5.0642,4.6483,5.3117
ALLSKY_SFC_SW_DWN,2021,10.5,75.5,4.9704,6.227,6.3478,5.6304,4.697,4.873,4.5127,4.6632,5.0266,4.2115,3.9967,5.1866,5.0203
ALLSKY_SFC_SW_DWN,2021,10.5,76.5,4.7381,6.1334,6.5587,5.652,4.9277,4.9344,4.1374,4.4808,4.6577,4.0522,3.7296,5.0126,4.9099
ALLSKY_SFC_SW_DWN,2021,11.5,75.5,5.047,6.2921,6.4063,5.898,4.8439,4.6925,4.1894,4.6183,4.9925,4.5458,3.8832,5.293,5.0506
ALLSKY_SFC_SW_DWN,2021,11.5,76.5,4.5281,6.0298,6.6259,5.6448,5.136,4.9514,3.9514,4.2266,4.579,4.0627,3.3019,4.746,4.8074
ALLSKY_SFC_SW_DWN,2021,12.5,75.5,4.9742,6.0924,6.4349,5.892,4.8269,4.4431,3.6281,4.0301,4.4537,4.5242,3.6922,5.0866,4.8319
ALLSKY_SFC_SW_DWN,2021,12.5,76.5,4.7383,6.0739,6.7901,6.0761,5.6916,5.2692,4.3958,4.6519,4.86,4.4868,3.5297,4.6788,5.0974
ALLSKY_SFC_SW_DWN,2021,8.5,75.5,4.7695,6.1536,6.3974,5.7274,4.5185,5.1734,4.9608,5.0546,5.4422,4.5055,4.0212,5.5394,5.1818
ALLSKY_SFC_SW_DWN,2021,8.5,76.5,4.8643,6.3125,6.486,6.001,4.7551,5.4137,5.1878,5.0789,5.381,4.5238,3.9372,5.3906,5.2702
ALLSKY_SFC_SW_DWN,2021,9.5,75.5,4.9481,6.0845,6.3763,5.7324,4.6154,5.0244,4.5348,4.7309,5.1338,4.4302,4.0154,5.4466,5.0825
