-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,16.5,73.5,5.2282,5.9009,6.7658,6.9324,6.5926,4.2871,3.5599,3.6943,4.4801,4.1921,5.1434,4.7438,5.1216
ALLSKY_SFC_SW_DWN,2020,16.5,74.5,4.9534,5.7574,6.4786,6.7078,6.581,4.7542,4.1369,3.5062,4.4527,4.247,4.7726,4.8139,5.0923
ALLSKY_SFC_SW_DWN,2020,16.5,75.5,4.8936,5.7528,6.4786,6.6588,6.6312,5.3412,4.4842,4.1146,4.4292,4.4215,4.675,4.8962,5.2282
ALLSKY_SFC_SW_DWN,2020,16.5,76.5,4.8806,5.7653,6.4932,6.6737,6.3931,5.3352,4.7158,4.3668,4.6358,4.6433,4.6327,4.9042,5.2836
ALLSKY_SFC_SW_DWN,2020,16.5,77.5,4.8821,5.7216,6.547,6.7658,6.5208,5.4372,4.8271,4.3738,4.5797,4.6354,4.6351,4.8984,5.316
ALLSKY_SFC_SW_DWN,2020,16.5,78.5,4.6332,5.4658,6.2738,6.6247,6.4783,5.4012,4.7923,4.1974,4.2792,4.4539,4.3726,4.5953,5.1283
ALLSKY_SFC_SW_DWN,2020,16.5,79.5,4.3793,5.3215,6.1438,6.4745,6.486,5.3314,4.7424,4.2379,4.627,4.3975,4.2506,4.4215,5.0652
ALLSKY_SFC_SW_DWN,2020,16.5,80.5,4.2852,5.1458,6.047,6.4387,6.4613,4.9622,4.4899,4.1957,4.4645,4.068,4.242,4.3946,4.9308
ALLSKY_SFC_SW_DWN,2020,17.5,73.5,5.0066,5.6712,6.6545,6.9994,6.9485,4.2902,3.6252,3.1176,4.1755,4.1311,4.9018,4.4434,4.9925
ALLSKY_SFC_SW_DWN,2020,17.5,74.5,4.7503,5.5325,6.3967,6.6967,6.823,4.9654,4.3248,3.7046,4.417,4.3363,4.729,4.6025,5.1031
