-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,25.5,93.5,3.509,4.2946,5.3335,4.7614,4.4878,4.3282,3.9348,4.7616,4.1858,4.0073,4.2744,4.1093,4.332
ALLSKY_SFC_SW_DWN,2020,25.5,94.5,3.6218,4.1285,5.2116,4.6807,4.5082,4.157,3.5522,4.2629,4.1191,3.8458,4.3006,4.1402,4.2101
ALLSKY_SFC_SW_DWN,2020,25.5,95.5,3.707,4.3022,5.3954,4.9138,4.8425,3.8196,3.2563,3.8873,3.9415,3.7584,4.1662,4.0027,4.165
ALLSKY_SFC_SW_DWN,2020,26.5,93.5,3.3362,4.0718,5.0141,4.9879,4.3022,4.2967,3.7008,4.9106,3.9506,4.1446,4.1095,3.7838,4.2168
ALLSKY_SFC_SW_DWN,2020,26.5,94.5,3.3578,4.0642,5.1031,4.7218,4.3826,4.2878,3.6737,4.7822,4.159,3.9833,4.0704,3.8561,4.2031
ALLSKY_SFC_SW_DWN,2020,26.5,95.5,3.4517,3.9552,4.7678,4.2893,4.134,3.5832,3.1637,4.1762,3.8652,3.6346,4.1352,3.8779,3.9187
ALLSKY_SFC_SW_DWN,2021,25.5,93.5,3.9257,4.8175,5.0424,5.7511,4.465,4.2703,4.577,4.0584,5.0402,4.4371,4.5034,3.737,4.5463
ALLSKY_SFC_SW_DWN,2021,25.5,94.5,3.9775,4.6846,5.0232,5.5572,4.3546,3.9943,4.2576,3.8813,4.7645,4.193,4.4047,3.7346,4.3968
ALLSKY_SFC_SW_DWN,2021,25.5,95.5,3.8498,4.7186,4.9397,5.4017,4.9951,4.1162,3.7613,3.6286,4.5036,4.2929,4.2631,3.6084,4.3342
ALLSKY_SFC_SW_DWN,2021,26.5,93.5,3.5172,4.4638,4.9589,5.7826,4.0546,4.3596,4.4126,4.1772,5.0402,4.4299,4.2773,3.684,4.4249
ALLSKY_SFC_SW_DWN,2021,26.5,94.5,3.5995,4.5223,4.8415,5.665,4.0493,4.3963,4.5257,4.3572,5.094,4.3894,4.332,3.7296,4.4534
ALLSKY_SFC_SW_DWN,2021,26.5,95.5,3.5578,4.405,4.4837,5.173,4.0099,3.9955,3.911,3.8482,4.9378,4.3183,4.3039,3.6518,4.2106
ALLSKY_SFC_SW_DWN,2022,25.5,93.5,3.4766,4.3099,5.1643,4.5154,3.9614,3.4994,5.0743,4.8742,4.6687,4.2053,4.663,3.8059,4.3522
ALLSKY_SFC_SW_DWN,2022,25.5,94.5,3.3883,4.399,5.1698,4.3822,3.947,3.3065,4.9615,4.5199,4.4136,4.1969,4.7112,3.7728,4.2636
ALLSKY_SFC_SW_DWN,2022,25.5,95.5,3.4202,4.6133,5.0868,4.4578,4.1165,3.1841,4.5326,4.3145,4.2314,4.0442,4.7594,3.6905,4.2014
ALLSKY_SFC_SW_DWN,2022,26.5,93.5,3.4378,4.1182,5.0448,3.8364,4.3577,3.5282,5.0354,5.0282,4.4107,4.0063,4.5245,3.6245,4.249
ALLSKY_SFC_SW_DWN,2022,26.5,94.5,3.3221,4.2101,5.143,3.7846,4.3699,3.6185,5.087,4.9944,4.5358,4.1225,4.5833,3.625,4.2852
ALLSKY_SFC_SW_DWN,2022,26.5,95.5,3.2378,4.007,5.0347,3.565,3.871,3.1289,4.7311,4.6982,4.1419,4.0092,4.6975,3.487,4.0529
ALLSKY_SFC_SW_DWN,2023,25.5,93.5,4.3154,4.2197,4.5065,5.6038,5.2013,4.0718,4.7477,4.1112,4.8967,4.3764,4.2209,3.534,4.4837
ALLSKY_SFC_SW_DWN,2023,25.5,94.5,4.3522,4.2266,4.525,5.6335,4.9908,3.9828,4.2451,3.7133,4.8511,4.2502,4.2636,3.546,4.3798
ALLSKY_SFC_SW_DWN,2023,25.5,95.5,4.2516,4.423,4.6682,5.6237,5.1607,4.2377,3.7294,3.2818,4.6034,4.1318,4.171,3.5592,4.3157
ALLSKY_SFC_SW_DWN,2023,26.5,93.5,3.9972,3.9151,4.363,5.4722,5.3599,4.249,4.4393,4.176,5.017,4.3898,4.2406,3.5858,4.4345
ALLSKY_SFC_SW_DWN,2023,26.5,94.5,4.0366,3.8897,4.284,5.4499,5.2157,4.2218,4.3865,4.1455,5.0501,4.3529,4.1897,3.5196,4.3956
ALLSKY_SFC_SW_DWN,2023,26.5,95.5,4.0339,3.7704,4.0937,5.1197,4.7582,3.8878,3.7747,3.3965,4.9205,4.1496,4.1777,3.5822,4.1376
ALLSKY_SFC_SW_DWN,2024,25.5,93.5,4.2086,4.0162,4.6152,5.3998,4.7407,4.0392,4.6896,4.2346,4.6327,3.4896,4.2432,3.9667,4.3558
ALLSKY_SFC_SW_DWN,2024,25.5,94.5,4.2566,4.0942,4.7129,5.3119,4.5619,4.0634,4.2497,4.127,4.4983,3.462,4.1662,3.966,4.2878
ALLSKY_SFC_SW_DWN,2024,25.5,95.5,4.2526,4.1585,5.0086,5.3371,4.6502,3.9698,3.2954,3.9946,4.3622,3.4831,4.1414,3.8878,4.2094
ALLSKY_SFC_SW_DWN,2024,26.5,93.5,3.9038,3.8134,4.4986,5.1811,5.0518,3.7253,4.5434,4.7074,4.8046,3.3226,4.1304,3.7685,4.2883
ALLSKY_SFC_SW_DWN,2024,26.5,94.5,3.9221,3.7529,4.4796,5.0275,4.8689,4.1369,4.6812,4.6219,4.8094,3.2652,4.0999,3.7882,4.2883
ALLSKY_SFC_SW_DWN,2024,26.5,95.5,3.8599,3.7574,4.4126,4.7892,4.4746,3.553,3.6439,4.313,4.5113,3.1903,4.0622,3.7757,4.0279
ALLSKY_SFC_SW_DWN,2025,25.5,93.5,3.9178,4.4191,5.0789,4.5958,3.9082,4.8202,4.8667,4.3205,4.6013,4.4366,4.0531,4.0606,4.4222
ALLSKY_SFC_SW_DWN,2025,25.5,94.5,3.9564,4.4789,5.1696,4.5382,3.6821,4.6831,4.2494,3.9617,4.302,4.3824,4.0858,4.1582,4.3015
ALLSKY_SFC_SW_DWN,2025,25.5,95.5,3.9394,4.4834,5.2771,4.903,3.8971,4.3025,4.0171,3.6382,3.8266,4.3927,4.0526,4.1138,4.2346
ALLSKY_SFC_SW_DWN,2025,26.5,93.5,3.6679,4.1489,4.7299,4.5955,4.1611,4.9846,5.1199,4.4126,4.5324,4.398,3.947,3.8095,4.3759
ALLSKY_SFC_SW_DWN,2025,26.5,94.5,3.6485,4.0555,4.692,4.6044,3.9022,4.8943,4.8451,4.2977,4.6668,4.3111,3.875,3.8878,4.3066
ALLSKY_SFC_SW_DWN,2025,26.5,95.5,3.606,3.8064,4.4674,4.385,3.4858,4.4568,4.2216,3.7294,4.2619,4.1971,3.9523,3.9775,4.0452
