-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,18.5,81.5,4.5336,5.1984,5.959,6.4795,6.4771,4.7863,4.2917,3.085,4.5036,4.4484,4.4659,4.7002,4.9075
ALLSKY_SFC_SW_DWN,2020,18.5,82.5,4.6735,5.2099,5.9054,6.4193,6.4387,4.5106,4.4023,3.0118,4.4602,4.2238,4.3481,4.5562,4.8437
ALLSKY_SFC_SW_DWN,2020,18.5,83.5,4.3303,4.8653,5.676,6.1152,6.2227,4.7926,4.9037,3.786,4.734,4.0817,4.3044,4.3178,4.8425
ALLSKY_SFC_SW_DWN,2020,18.5,84.5,4.2948,4.8278,5.9587,6.3029,6.1282,4.9697,5.2795,4.0798,5.0126,4.0414,4.2658,4.2024,4.9454
ALLSKY_SFC_SW_DWN,2020,18.5,85.5,4.2965,4.7954,6.1632,6.3785,6.0941,5.0717,5.4302,4.0106,5.1228,4.2043,4.3118,4.2485,5.0095
ALLSKY_SFC_SW_DWN,2020,18.5,86.5,4.3315,4.9034,6.2268,6.4397,5.9702,5.0772,5.3172,3.6163,5.2262,4.3195,4.3884,4.3291,5.0098
ALLSKY_SFC_SW_DWN,2020,18.5,87.5,4.3632,5.1862,6.2297,6.5042,6.0571,5.2524,5.249,3.4637,5.2889,4.3862,4.7021,4.4179,5.0875
ALLSKY_SFC_SW_DWN,2020,19.5,81.5,4.3963,4.9757,5.7113,6.3799,6.6019,4.7306,4.29,3.1606,4.3735,4.5103,4.6435,4.675,4.8684
ALLSKY_SFC_SW_DWN,2020,19.5,82.5,4.4762,4.9159,5.6846,6.263,6.3941,4.5857,4.5631,3.3936,4.5734,4.4076,4.499,4.5583,4.8578
ALLSKY_SFC_SW_DWN,2020,19.5,83.5,4.2893,4.6454,5.4454,5.9947,6.2441,4.4071,4.6104,3.282,4.4954,4.2643,4.278,4.2396,4.6819
ALLSKY_SFC_SW_DWN,2020,19.5,84.5,4.1573,4.5012,5.4931,5.9789,6.306,4.6514,4.9291,3.6946,4.692,3.9576,4.2046,4.2098,4.7309
ALLSKY_SFC_SW_DWN,2020,19.5,85.5,3.9979,4.3954,5.7612,6.2215,6.0938,5.166,5.1941,4.0099,5.1077,4.1191,4.2583,4.1438,4.8715
ALLSKY_SFC_SW_DWN,2020,19.5,86.5,3.8657,4.2881,5.7701,6.0907,5.8289,5.0969,5.1079,3.7615,5.01,4.3121,4.2002,4.0188,4.7784
ALLSKY_SFC_SW_DWN,2020,19.5,87.5,4.0874,4.5854,5.8733,6.1294,5.9851,5.2961,5.0148,3.5683,5.1734,4.4594,4.4489,4.1213,4.8929
ALLSKY_SFC_SW_DWN,2020,20.5,81.5,4.1765,4.6366,5.5769,6.6185,6.7874,4.7102,4.7033,3.2669,4.6049,4.507,4.6421,4.464,4.8898
ALLSKY_SFC_SW_DWN,2020,20.5,82.5,4.225,4.608,5.4782,6.2002,6.5606,4.4707,4.633,3.3502,4.71,4.3733,4.5151,4.3759,4.7906
ALLSKY_SFC_SW_DWN,2020,20.5,83.5,4.087,4.4458,5.5296,6.1793,6.6173,4.5718,4.704,3.438,4.7777,4.4731,4.3337,4.0738,4.7688
