-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,29.5,74.5,2.7106,4.3649,4.9282,6.3137,6.7807,6.401,6.0168,5.5601,5.3693,4.8264,3.3586,2.9851,4.967
ALLSKY_SFC_SW_DWN,2020,29.5,75.5,2.6806,4.3301,4.9397,6.2882,6.6725,6.1409,5.6923,5.3208,5.412,4.8454,3.3185,2.9808,4.8838
ALLSKY_SFC_SW_DWN,2020,29.5,76.5,2.6333,4.2415,5.0429,6.2297,6.6934,6.1394,5.2874,5.0424,5.4914,4.9678,3.5678,3.1018,4.8679
ALLSKY_SFC_SW_DWN,2020,30.5,74.5,2.6765,4.3572,4.8209,6.3149,6.8426,6.4714,6.0466,5.5843,5.4778,5.0659,3.5366,2.9606,5.0117
ALLSKY_SFC_SW_DWN,2020,30.5,75.5,2.7679,4.3022,4.8487,6.2614,6.7217,6.4327,5.772,5.4175,5.6186,5.0678,3.5141,2.9909,4.9747
ALLSKY_SFC_SW_DWN,2020,30.5,76.5,2.8829,4.5046,4.9802,6.3706,6.9072,6.7711,5.8116,5.1372,5.8589,5.515,3.9002,3.3684,5.1648
ALLSKY_SFC_SW_DWN,2020,31.5,74.5,2.6227,4.115,4.6094,6.161,6.6146,6.2623,5.9844,5.2498,5.4113,4.9956,3.349,2.6554,4.8348
ALLSKY_SFC_SW_DWN,2020,31.5,75.5,2.6501,4.038,4.5593,6.1855,6.4973,6.281,5.8805,4.9795,5.4434,5.0222,3.3926,2.7156,4.8022
ALLSKY_SFC_SW_DWN,2020,31.5,76.5,2.9093,4.3344,4.6898,6.2892,6.7956,6.6329,5.7257,4.5509,5.6767,5.531,3.6703,3.3938,5.0143
ALLSKY_SFC_SW_DWN,2020,32.5,74.5,2.6846,4.0706,4.5648,6.1018,6.8611,6.629,6.5047,5.1199,5.8752,5.3897,3.5602,2.8284,5.0153
ALLSKY_SFC_SW_DWN,2020,32.5,75.5,2.6155,4.0997,4.3692,5.9741,6.6818,6.5114,6.0278,4.4959,5.6304,5.3923,3.5165,2.9434,4.8528
ALLSKY_SFC_SW_DWN,2020,32.5,76.5,2.2774,3.8006,4.0546,5.4329,6.071,6.335,5.7943,4.8682,5.821,5.635,3.131,2.7922,4.6668
ALLSKY_SFC_SW_DWN,2021,29.5,74.5,2.6666,4.3982,5.4902,6.5347,6.0689,5.9234,5.3134,5.8234,4.6831,4.6546,3.5662,2.9506,4.8394
ALLSKY_SFC_SW_DWN,2021,29.5,75.5,2.6052,4.2732,5.4334,6.57,5.9882,5.9777,4.861,5.6347,4.5372,4.6085,3.5098,2.9064,4.7414
ALLSKY_SFC_SW_DWN,2021,29.5,76.5,2.7485,4.3063,5.4689,6.5734,6.0982,6.1138,4.7438,5.2368,4.4825,4.6416,3.8297,3.0538,4.7734
ALLSKY_SFC_SW_DWN,2021,30.5,74.5,2.7626,4.3176,5.4252,6.4183,6.2957,6.3178,5.4478,5.8882,4.7873,4.795,3.8854,3.1531,4.9589
ALLSKY_SFC_SW_DWN,2021,30.5,75.5,2.7065,4.2122,5.4031,6.325,6.1382,6.3931,5.1511,5.6309,4.6514,4.7518,3.8767,3.0845,4.8607
ALLSKY_SFC_SW_DWN,2021,30.5,76.5,3.0329,4.5797,5.6203,6.5129,6.4382,6.7399,5.2157,5.4876,4.692,4.9082,4.3505,3.3998,5.0803
ALLSKY_SFC_SW_DWN,2021,31.5,74.5,2.5872,3.9773,5.1533,6.1788,6.4421,6.5669,5.0695,5.694,4.6039,4.6466,3.7769,3.065,4.8151
ALLSKY_SFC_SW_DWN,2021,31.5,75.5,2.514,3.906,5.0866,6.0247,6.1733,6.4068,4.8948,5.4643,4.4659,4.5857,3.8131,3.0046,4.6961
ALLSKY_SFC_SW_DWN,2021,31.5,76.5,3.3014,4.5658,5.4931,6.2657,6.4351,6.6098,4.945,5.2358,4.4131,4.8156,4.2929,3.318,4.973
ALLSKY_SFC_SW_DWN,2021,32.5,74.5,2.9426,4.103,5.1744,6.2782,6.8206,7.2876,5.3971,6.0142,5.0064,4.831,4.073,3.2138,5.0971
ALLSKY_SFC_SW_DWN,2021,32.5,75.5,3.0379,4.1609,5.1494,5.9446,6.4279,7.0438,4.9013,5.3393,4.5082,4.6658,4.1002,3.1608,4.8701
