-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,23.5,69.5,4.4014,5.1763,5.9729,6.9077,7.2943,6.2623,5.3023,4.2816,5.6909,5.5046,4.7242,4.3646,5.4876
ALLSKY_SFC_SW_DWN,2020,23.5,70.5,4.3723,5.2591,5.9765,6.8969,7.3224,6.0706,5.5087,4.3368,5.5277,5.4331,4.6255,4.2108,5.4593
ALLSKY_SFC_SW_DWN,2020,23.5,71.5,4.4002,5.3659,6.2126,7.1539,7.5427,6.1714,5.5838,4.2634,5.4163,5.412,4.6241,4.1801,5.5246
ALLSKY_SFC_SW_DWN,2020,23.5,72.5,4.4215,5.4521,6.2071,7.212,7.5804,6.0252,5.2344,3.6941,5.1425,5.4641,4.5749,4.1506,5.4264
ALLSKY_SFC_SW_DWN,2020,23.5,73.5,4.2799,5.3962,6.2172,7.159,7.6174,6.0178,5.2018,3.5016,5.0623,5.3398,4.4959,4.0898,5.3611
ALLSKY_SFC_SW_DWN,2020,23.5,74.5,4.0956,5.3194,6.0938,7.1038,7.6344,5.7686,5.1862,3.4906,4.8761,5.1893,4.3354,3.9024,5.2462
ALLSKY_SFC_SW_DWN,2020,23.5,75.5,4.0246,5.3026,5.9993,6.9821,7.4808,5.3501,5.1156,3.6113,4.7998,5.0844,4.3584,3.8035,5.1562
ALLSKY_SFC_SW_DWN,2020,23.5,76.5,3.9346,5.2277,5.8685,6.8724,7.3368,5.221,5.2222,3.4704,4.9051,5.107,4.3968,3.7654,5.1074
ALLSKY_SFC_SW_DWN,2020,23.5,77.5,3.7874,5.2654,5.8507,6.8244,7.2857,5.2354,5.3438,3.2995,4.9174,5.1461,4.4194,3.7658,5.0914
ALLSKY_SFC_SW_DWN,2020,24.5,69.5,4.3282,5.2582,5.9782,6.8945,7.3884,6.8098,5.9918,4.6937,5.7977,5.5116,4.6166,4.2722,5.6261
ALLSKY_SFC_SW_DWN,2020,24.5,70.5,4.3214,5.2872,5.9369,6.9022,7.4755,6.6718,5.8656,4.4933,5.5666,5.3479,4.5475,4.1424,5.5438
ALLSKY_SFC_SW_DWN,2020,24.5,71.5,4.3248,5.3472,6.0521,7.0087,7.5377,6.4486,5.7979,4.333,5.5399,5.3904,4.5658,4.1438,5.538
ALLSKY_SFC_SW_DWN,2020,24.5,72.5,4.2598,5.3098,6.0451,7.0248,7.4986,6.2642,5.352,3.9276,5.0959,5.3362,4.5086,4.0728,5.388
ALLSKY_SFC_SW_DWN,2020,24.5,73.5,4.164,5.3215,6.0706,7.0051,7.62,5.9777,5.2601,3.7658,4.8125,5.3086,4.4678,4.0524,5.3162
ALLSKY_SFC_SW_DWN,2020,24.5,74.5,3.9888,5.2296,5.9318,6.8614,7.4381,5.9148,5.3616,4.0798,4.9714,5.1552,4.2403,3.8635,5.2505
ALLSKY_SFC_SW_DWN,2020,24.5,75.5,3.881,5.195,5.9119,6.894,7.5012,5.7451,5.4552,4.0433,5.0952,5.0522,4.1506,3.7666,5.2217
