-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,16.5,77.5,4.8821,5.7216,6.547,6.7658,6.5208,5.4372,4.8271,4.3738,4.5797,4.6354,4.6351,4.8984,5.316
ALLSKY_SFC_SW_DWN,2020,16.5,78.5,4.6332,5.4658,6.2738,6.6247,6.4783,5.4012,4.7923,4.1974,4.2792,4.4539,4.3726,4.5953,5.1283
ALLSKY_SFC_SW_DWN,2020,16.5,79.5,4.3793,5.3215,6.1438,6.4745,6.486,5.3314,4.7424,4.2379,4.627,4.3975,4.2506,4.4215,5.0652
ALLSKY_SFC_SW_DWN,2020,16.5,80.5,4.2852,5.1458,6.047,6.4387,6.4613,4.9622,4.4899,4.1957,4.4645,4.068,4.242,4.3946,4.9308
ALLSKY_SFC_SW_DWN,2020,17.5,77.5,4.5847,5.4106,6.0763,6.2976,6.4334,5.2034,4.7611,4.1369,4.4083,4.535,4.7016,4.8086,5.111
ALLSKY_SFC_SW_DWN,2020,17.5,78.5,4.3718,5.2697,5.9158,6.1932,6.3835,5.3347,4.8286,4.0853,4.4422,4.4914,4.5271,4.7306,5.0458
ALLSKY_SFC_SW_DWN,2020,17.5,79.5,4.2665,5.2298,5.9681,6.3979,6.6072,5.4372,4.794,3.911,4.6094,4.4741,4.4983,4.6543,5.0681
ALLSKY_SFC_SW_DWN,2020,17.5,80.5,4.4054,5.1598,5.9446,6.4838,6.5479,5.1466,4.4018,3.847,4.601,4.3368,4.3843,4.7114,4.9949
ALLSKY_SFC_SW_DWN,2020,18.5,77.5,4.4678,5.2332,6.0679,6.5225,6.7526,5.0774,4.7196,4.2991,4.463,4.4753,4.7251,4.6507,5.1197
ALLSKY_SFC_SW_DWN,2020,18.5,78.5,4.3157,5.1979,6.0458,6.479,6.6046,5.2752,4.8542,4.1014,4.5156,4.4498,4.6692,4.6238,5.0923
