-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,24.5,77.5,3.7663,5.1487,5.8133,6.8263,7.2329,5.4746,5.3026,3.6962,4.9975,5.0093,4.2209,3.7342,5.0986
ALLSKY_SFC_SW_DWN,2020,24.5,78.5,3.726,5.0566,5.7331,6.6922,7.1201,5.2118,5.1898,3.763,4.8804,5.0189,4.2062,3.6233,5.0158
ALLSKY_SFC_SW_DWN,2020,24.5,79.5,3.7894,4.9898,5.6191,6.7289,7.255,5.0527,5.0462,3.9139,4.7369,5.0568,4.2535,3.6588,5.0064
ALLSKY_SFC_SW_DWN,2020,24.5,80.5,3.8124,4.8456,5.4895,6.6142,7.1198,4.7328,4.8972,4.0001,4.59,4.8881,4.1748,3.5287,4.8898
ALLSKY_SFC_SW_DWN,2020,24.5,81.5,3.7762,4.77,5.4578,6.6098,7.1098,4.6812,4.661,4.1431,4.5372,4.818,4.1124,3.5698,4.8528
ALLSKY_SFC_SW_DWN,2020,24.5,82.5,3.6242,4.6786,5.3765,6.5258,6.9898,4.5746,4.5022,4.4434,4.4393,4.7347,4.0512,3.4399,4.781
ALLSKY_SFC_SW_DWN,2020,24.5,83.5,3.4898,4.6238,5.37,6.3761,6.6223,4.5173,4.1722,4.4863,4.4054,4.6934,4.0543,3.2794,4.6728
ALLSKY_SFC_SW_DWN,2020,24.5,84.5,3.4481,4.6058,5.3614,6.2182,6.4327,4.6318,4.1789,4.627,4.469,4.627,3.9799,3.2551,4.6512
ALLSKY_SFC_SW_DWN,2020,25.5,77.5,3.6838,4.9459,5.6194,6.8129,7.3517,6.0552,5.1103,4.1659,5.2884,4.9524,4.015,3.7757,5.1449
ALLSKY_SFC_SW_DWN,2020,25.5,78.5,3.3197,4.7323,5.5358,6.6247,7.1184,5.5824,4.7813,4.35,5.1588,4.8067,3.7596,3.391,4.9272
ALLSKY_SFC_SW_DWN,2020,25.5,79.5,3.1658,4.6728,5.3606,6.5947,7.0874,5.2978,4.7345,4.4335,4.8962,4.8578,3.7488,3.378,4.8502
ALLSKY_SFC_SW_DWN,2020,25.5,80.5,2.9856,4.3481,5.1768,6.474,6.7932,4.7954,4.6802,4.429,4.5694,4.7165,3.5808,3.0494,4.6322
ALLSKY_SFC_SW_DWN,2020,25.5,81.5,3.0118,4.2986,5.1154,6.503,6.8263,4.7681,4.3946,4.6313,4.3805,4.6524,3.5484,3.0602,4.5986
ALLSKY_SFC_SW_DWN,2020,25.5,82.5,2.8354,4.1945,5.069,6.3641,6.6974,4.5271,4.0025,4.6865,4.2456,4.6414,3.5566,2.8356,4.4707
ALLSKY_SFC_SW_DWN,2020,25.5,83.5,2.7886,4.2782,5.245,6.2131,6.5654,4.4486,3.8093,4.6116,4.171,4.6735,3.7174,2.6954,4.4333
ALLSKY_SFC_SW_DWN,2020,25.5,84.5,2.7324,4.2182,5.2409,6.1687,6.341,4.5646,3.8784,4.824,4.1707,4.5485,3.702,2.6959,4.4225
ALLSKY_SFC_SW_DWN,2020,26.5,77.5,3.4574,4.8307,5.4787,6.6684,7.1316,6.1798,5.3453,4.4256,5.4245,4.9524,3.8585,3.707,5.1187
ALLSKY_SFC_SW_DWN,2020,26.5,78.5,3.1322,4.6291,5.37,6.5297,6.9216,5.9256,4.885,4.4688,5.1816,4.7402,3.5522,3.36,4.8883
ALLSKY_SFC_SW_DWN,2020,26.5,79.5,3.0521,4.6178,5.2937,6.4697,6.9629,5.7154,4.6421,4.5869,5.0064,4.793,3.6283,3.3883,4.8437
ALLSKY_SFC_SW_DWN,2020,26.5,80.5,2.7502,4.333,5.1197,6.3881,6.8146,5.1012,4.5718,4.6075,4.7314,4.6733,3.5215,3.048,4.6368
ALLSKY_SFC_SW_DWN,2020,26.5,81.5,2.6926,4.2679,5.1982,6.3984,6.8261,4.7755,4.2826,4.6529,4.4225,4.6255,3.5119,2.9796,4.5518
ALLSKY_SFC_SW_DWN,2020,26.5,82.5,2.5421,4.2012,5.1761,6.265,6.5954,4.3205,3.7831,4.8024,4.049,4.6099,3.4978,2.6875,4.3769
ALLSKY_SFC_SW_DWN,2020,26.5,83.5,2.4367,4.2084,5.2922,6.2006,6.3444,4.2473,3.6367,4.938,4.1198,4.6582,3.6211,2.561,4.3541
ALLSKY_SFC_SW_DWN,2020,26.5,84.5,2.4276,4.0435,5.2646,6.1615,6.1337,4.4018,3.697,5.0009,3.9758,4.5264,3.6305,2.5502,4.3169
ALLSKY_SFC_SW_DWN,2020,27.5,77.5,3.0545,4.4666,5.3158,6.4747,6.5957,5.941,5.1127,4.3822,5.3134,4.7076,3.4536,3.3079,4.841
ALLSKY_SFC_SW_DWN,2020,27.5,78.5,2.8471,4.3901,5.3078,6.3194,6.6564,5.899,4.9198,4.3541,5.2224,4.8053,3.3919,3.1118,4.7659
ALLSKY_SFC_SW_DWN,2020,27.5,79.5,2.7206,4.3666,5.1989,6.2695,6.6737,5.6074,4.6418,4.6325,4.9435,4.8043,3.511,3.0074,4.6956
ALLSKY_SFC_SW_DWN,2020,27.5,80.5,2.7382,4.403,5.299,6.3122,6.7205,5.3659,4.5502,4.8298,4.6414,4.9534,3.791,3.0811,4.7222
ALLSKY_SFC_SW_DWN,2020,27.5,81.5,2.6196,4.2667,5.4108,6.4286,6.6554,4.9795,4.2473,5.0743,4.4606,4.8823,3.7651,3.0086,4.6493
ALLSKY_SFC_SW_DWN,2020,27.5,82.5,2.7595,4.3613,5.5392,6.4138,6.5182,4.7448,3.9677,5.0551,4.1842,5.0767,4.0908,3.3605,4.6723
ALLSKY_SFC_SW_DWN,2020,27.5,83.5,2.76,4.3699,5.5658,6.2434,6.1865,4.5336,3.7346,4.9632,3.9482,5.1588,4.2362,3.4723,4.5974
ALLSKY_SFC_SW_DWN,2020,27.5,84.5,2.9066,4.3824,5.6311,6.1781,5.8541,4.5576,3.7762,4.7302,3.9134,5.0496,4.1405,3.4483,4.5466
ALLSKY_SFC_SW_DWN,2020,28.5,77.5,2.8685,4.2701,5.1643,6.4015,6.6862,6.0876,5.1242,4.4486,5.3078,4.7002,3.4212,3.1778,4.8024
ALLSKY_SFC_SW_DWN,2020,28.5,78.5,2.5834,4.135,5.2118,6.2083,6.6382,5.9882,4.7741,4.3831,5.1902,4.7846,3.4034,2.8625,4.6776
ALLSKY_SFC_SW_DWN,2020,28.5,79.5,2.4559,4.1184,5.2075,6.1886,6.5741,5.7175,4.3855,4.446,4.9582,4.7825,3.4027,2.6909,4.5744
ALLSKY_SFC_SW_DWN,2020,28.5,80.5,2.5632,4.0886,5.3297,6.2357,6.4836,5.3791,4.2348,4.4498,4.5281,4.9097,3.6974,2.9057,4.5655
ALLSKY_SFC_SW_DWN,2020,28.5,81.5,2.6767,4.0152,5.3369,6.1728,6.3158,4.8823,4.0198,4.4474,4.2878,4.8938,3.7802,3.175,4.5
ALLSKY_SFC_SW_DWN,2020,28.5,82.5,3.0871,4.1777,5.3424,5.7948,5.9112,4.6164,3.7766,4.4657,4.2509,5.1691,4.0956,3.7018,4.5326
ALLSKY_SFC_SW_DWN,2020,28.5,83.5,2.9858,4.0598,4.9726,5.3114,5.3458,4.5758,3.8784,4.5619,4.2626,5.196,4.0325,3.6602,4.404
ALLSKY_SFC_SW_DWN,2020,28.5,84.5,2.8601,4.0147,4.8271,5.1391,5.1554,4.7078,4.1354,4.6291,4.1789,5.1276,4.0068,3.582,4.3639
ALLSKY_SFC_SW_DWN,2020,29.5,77.5,2.6136,4.1203,5.0966,6.2911,6.6065,6.2395,5.1698,4.5886,5.2882,4.9944,3.637,3.0442,4.805
ALLSKY_SFC_SW_DWN,2020,29.5,78.5,2.8152,4.3291,5.3806,6.3514,6.7459,6.3242,4.9618,4.3733,5.274,5.4146,4.0454,3.3607,4.9454
ALLSKY_SFC_SW_DWN,2020,29.5,79.5,2.8277,4.3735,5.3244,6.2011,6.6058,5.7905,4.4494,4.1786,5.1494,5.4998,4.0495,3.5506,4.8307
ALLSKY_SFC_SW_DWN,2020,29.5,80.5,2.9662,4.5708,5.3935,6.1481,6.5926,5.7974,4.6145,4.5427,5.183,5.7422,4.2638,3.8746,4.9723
ALLSKY_SFC_SW_DWN,2020,29.5,81.5,2.8411,4.3939,5.0628,5.6239,6.036,5.0738,4.2456,4.5799,4.9994,5.7382,4.1352,3.8246,4.7119
ALLSKY_SFC_SW_DWN,2020,29.5,82.5,3.4082,4.9723,5.8786,6.8074,6.1795,5.227,4.6608,5.077,5.2584,5.7701,4.2562,3.9547,5.1187
