-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,22.5,51.5,4.6274,5.5466,6.4296,6.3552,7.572,7.8178,7.4088,6.8813,7.0159,6.1574,5.0009,4.5096,6.2779
ALLSKY_SFC_SW_DWN,2020,22.5,52.5,4.5782,5.6585,6.4301,6.755,7.6279,7.9164,7.3735,6.8011,7.0678,6.2506,5.095,4.637,6.3492
ALLSKY_SFC_SW_DWN,2020,22.5,53.5,4.5526,5.701,6.3946,6.9442,7.553,7.825,7.1976,6.5611,7.0586,6.2534,5.082,4.6553,6.3137
ALLSKY_SFC_SW_DWN,2020,22.5,54.5,4.5262,5.6786,6.3197,6.9559,7.5398,7.7486,7.175,6.4406,7.0548,6.2508,5.0722,4.6262,6.281
ALLSKY_SFC_SW_DWN,2020,22.5,55.5,4.553,5.671,6.209,7.0142,7.5386,7.6298,7.0154,6.4114,7.0154,6.2782,5.0854,4.6702,6.2561
ALLSKY_SFC_SW_DWN,2020,22.5,56.5,4.5708,5.7122,6.0622,6.9576,7.5442,7.5118,6.7786,6.3228,6.9588,6.2347,5.0642,4.6946,6.1992
ALLSKY_SFC_SW_DWN,2020,23.5,51.5,4.5588,5.387,6.3084,6.0024,7.4496,7.8118,7.2943,6.8981,6.8458,6.031,4.7916,4.3658,6.1471
ALLSKY_SFC_SW_DWN,2020,23.5,52.5,4.511,5.3818,6.2803,6.2129,7.547,7.9397,7.2703,6.7428,6.9343,6.0542,4.8674,4.3937,6.1788
ALLSKY_SFC_SW_DWN,2020,23.5,53.5,4.4748,5.4941,6.3456,6.613,7.5322,7.955,7.3006,6.7416,7.0406,6.1498,4.9414,4.4443,6.2527
ALLSKY_SFC_SW_DWN,2020,23.5,54.5,4.3848,5.5046,6.3331,6.7709,7.4947,7.8622,7.2958,6.649,7.0493,6.2014,4.9536,4.4508,6.2453
